,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.000492,0.003162,0.000559,0.115216,0.000477,0.000289,0.022412,0.051166,0.03024,1000,200,3,36,2
1,0.008435,0.00018,0.003767,0.000509,0.099669,0.000488,0.000288,0.021499,0.042473,0.024429,1000,200,3,36,2
2,0.015503,0.000196,0.003766,0.000514,0.100358,0.000465,0.000294,0.021124,0.041668,0.02461,1000,200,3,36,2
3,0.021906,0.000203,0.003776,0.000543,0.100442,0.000468,0.000285,0.021126,0.042067,0.024306,1000,200,3,36,2
4,0.028049,0.000172,0.003861,0.000525,0.102159,0.000501,0.000239,0.021944,0.041739,0.024338,1000,200,3,36,2
5,0.034028,0.000201,0.003856,0.000526,0.102105,0.00051,0.000228,0.021505,0.042072,0.024481,1000,200,3,36,2
6,0.039904,0.000233,0.003888,0.000555,0.101673,0.000577,0.000289,0.021362,0.04199,0.024385,1000,200,3,36,2
7,0.045732,0.000198,0.003861,0.000526,0.100361,0.000593,0.000299,0.020773,0.041959,0.024299,1000,200,3,36,2
8,0.051521,0.000178,0.004007,0.000526,0.097783,0.000617,0.000269,0.019081,0.041414,0.024612,1000,200,3,36,2
9,0.057231,0.000171,0.003852,0.000553,0.096134,0.00044,0.000273,0.018105,0.041436,0.024414,1000,200,3,36,2
10,0.062871,0.000169,0.003839,0.000526,0.095736,0.000569,0.000278,0.0179,0.041402,0.024491,1000,200,3,36,2
11,0.068462,0.000182,0.003813,0.000554,0.095381,0.000453,0.000264,0.017775,0.041474,0.024408,1000,200,3,36,2
12,0.074023,0.000178,0.003783,0.000526,0.098626,0.000552,0.000267,0.018798,0.041391,0.024413,1000,200,3,36,2
13,0.07958,0.000169,0.003801,0.000526,0.100462,0.000647,0.000271,0.020701,0.041215,0.024504,1000,200,3,36,2
14,0.085152,0.000201,0.004022,0.000557,0.100612,0.000454,0.000201,0.020297,0.041959,0.024515,1000,200,3,36,2
15,0.090753,0.000168,0.003788,0.00053,0.099233,0.000462,0.000197,0.019689,0.04151,0.02439,1000,200,3,36,2
16,0.09638,0.000235,0.003886,0.000526,0.101123,0.000591,0.000186,0.020381,0.042743,0.024318,1000,200,3,36,2
17,0.102041,0.000232,0.003843,0.000526,0.099114,0.000461,0.000192,0.019497,0.042192,0.024314,1000,200,3,36,2
18,0.107743,0.000168,0.003853,0.00053,0.098462,0.000468,0.000195,0.018808,0.041316,0.024369,1000,200,3,36,2
19,0.113488,0.000169,0.003866,0.000526,0.094861,0.000545,0.000257,0.016628,0.041403,0.024418,1000,200,3,36,2
20,0.119277,0.000172,0.003828,0.00053,0.095804,0.000437,0.000271,0.017299,0.041422,0.024452,1000,200,3,36,2
21,0.125107,0.000176,0.003864,0.000529,0.095321,0.000549,0.000264,0.017356,0.041464,0.024435,1000,200,3,36,2
22,0.130979,0.00017,0.003832,0.000533,0.095208,0.00059,0.000185,0.016718,0.041593,0.024393,1000,200,3,36,2
23,0.13689,0.000179,0.003863,0.000552,0.100898,0.000684,0.000266,0.0199,0.042853,0.0243,1000,200,3,36,2
24,0.142834,0.000173,0.003887,0.000526,0.105388,0.000483,0.000254,0.02216,0.041852,0.024584,1000,200,3,36,2
25,0.1488,0.000245,0.003853,0.000529,0.101529,0.000554,0.000285,0.020186,0.042226,0.024385,1000,200,3,36,2
26,0.154787,0.00021,0.003878,0.000526,0.09818,0.000548,0.000277,0.018694,0.04179,0.02439,1000,200,3,36,2
27,0.160795,0.00017,0.003802,0.00053,0.09483,0.000537,0.000256,0.016278,0.041438,0.024405,1000,200,3,36,2
28,0.166821,0.000177,0.003864,0.00053,0.095121,0.000619,0.0002,0.016384,0.041509,0.024382,1000,200,3,36,2
29,0.172867,0.000173,0.003846,0.00053,0.094332,0.000452,0.000296,0.016168,0.041453,0.024429,1000,200,3,36,2
30,0.178929,0.00017,0.003925,0.000526,0.095301,0.000442,0.000294,0.017471,0.04141,0.02445,1000,200,3,36,2
31,0.185009,0.00017,0.003909,0.000526,0.096873,0.000495,0.000232,0.017814,0.041424,0.024442,1000,200,3,36,2
32,0.191105,0.000172,0.003916,0.000554,0.10192,0.000461,0.000196,0.020628,0.042654,0.024369,1000,200,3,36,2
