,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.000709,0.013313,0.001991,0.393848,0.001727,0.000571,2000,400,3,3,1
1,0.002109,0.000517,0.012778,0.001825,0.394235,0.001592,0.000533,2000,400,3,3,1
2,0.004218,0.000612,0.013358,0.001836,0.393655,0.001604,0.000525,2000,400,3,3,1
3,0.006326,0.000543,0.01371,0.001856,0.393897,0.001695,0.000602,2000,400,3,3,1
4,0.008435,0.00055,0.014033,0.001684,0.393073,0.001685,0.0006,2000,400,3,3,1
5,0.010544,0.000546,0.013975,0.001812,0.393587,0.001614,0.00053,2000,400,3,3,1
6,0.012653,0.00057,0.014148,0.001868,0.393876,0.001595,0.000515,2000,400,3,3,1
7,0.014762,0.000526,0.014085,0.001885,0.393561,0.001612,0.000562,2000,400,3,3,1
8,0.01687,0.000636,0.014122,0.001834,0.393471,0.001696,0.000603,2000,400,3,3,1
9,0.018979,0.000548,0.014152,0.001842,0.392693,0.001644,0.000639,2000,400,3,3,1
10,0.021088,0.000505,0.014375,0.001826,0.392777,0.001647,0.000636,2000,400,3,3,1
11,0.023197,0.000509,0.014324,0.001855,0.392802,0.001652,0.00052,2000,400,3,3,1
12,0.025306,0.000566,0.014385,0.001826,0.392567,0.001669,0.000591,2000,400,3,3,1
13,0.027414,0.000584,0.014405,0.00179,0.392533,0.001619,0.000519,2000,400,3,3,1
14,0.029523,0.00053,0.014243,0.001875,0.392766,0.0016,0.000488,2000,400,3,3,1
15,0.031632,0.000644,0.01428,0.001826,0.392304,0.001656,0.000608,2000,400,3,3,1
16,0.033741,0.000573,0.014268,0.001805,0.392935,0.00159,0.000516,2000,400,3,3,1
17,0.03585,0.000555,0.014233,0.001737,0.392076,0.001597,0.000525,2000,400,3,3,1
18,0.037958,0.000522,0.014255,0.001853,0.392972,0.001609,0.000478,2000,400,3,3,1
19,0.040067,0.000655,0.014224,0.001849,0.392675,0.001656,0.000469,2000,400,3,3,1
20,0.042176,0.000644,0.014247,0.001895,0.392173,0.001655,0.000497,2000,400,3,3,1
21,0.044285,0.000626,0.014296,0.001952,0.392636,0.0016,0.00056,2000,400,3,3,1
22,0.046394,0.000553,0.014378,0.001864,0.392755,0.001596,0.000515,2000,400,3,3,1
23,0.048502,0.000488,0.014234,0.00185,0.393129,0.001677,0.000609,2000,400,3,3,1
24,0.050611,0.000521,0.01429,0.001855,0.392693,0.001662,0.000625,2000,400,3,3,1
25,0.05272,0.000535,0.014373,0.001921,0.392254,0.001661,0.000519,2000,400,3,3,1
26,0.054829,0.000568,0.014353,0.001912,0.391981,0.001599,0.000583,2000,400,3,3,1
27,0.056938,0.00049,0.014495,0.001947,0.391865,0.001607,0.000634,2000,400,3,3,1
28,0.059046,0.000488,0.014534,0.00191,0.392011,0.001604,0.000521,2000,400,3,3,1
29,0.061155,0.000615,0.014536,0.001887,0.391612,0.001601,0.000533,2000,400,3,3,1
30,0.063264,0.000537,0.014611,0.001916,0.391585,0.001665,0.000611,2000,400,3,3,1
31,0.065373,0.000518,0.014722,0.00192,0.391932,0.001624,0.000612,2000,400,3,3,1
32,0.067482,0.000549,0.01465,0.001892,0.391212,0.001584,0.000639,2000,400,3,3,1
33,0.06959,0.000611,0.014715,0.001891,0.391242,0.001591,0.000577,2000,400,3,3,1
34,0.071699,0.000542,0.014721,0.001923,0.391091,0.00167,0.000629,2000,400,3,3,1
35,0.073808,0.000537,0.014817,0.001917,0.391126,0.001606,0.000497,2000,400,3,3,1
36,0.075917,0.000558,0.014915,0.001909,0.391398,0.001601,0.000487,2000,400,3,3,1
37,0.078026,0.000631,0.014958,0.001914,0.390846,0.001602,0.000519,2000,400,3,3,1
38,0.080134,0.000532,0.014879,0.001903,0.390744,0.0016,0.000642,2000,400,3,3,1
39,0.082243,0.000529,0.014914,0.001944,0.390947,0.001665,0.000595,2000,400,3,3,1
40,0.084352,0.000525,0.014935,0.001896,0.391307,0.001601,0.000596,2000,400,3,3,1
41,0.086461,0.00049,0.014992,0.001923,0.390891,0.001602,0.000547,2000,400,3,3,1
42,0.08857,0.00055,0.014801,0.001916,0.391259,0.001599,0.000517,2000,400,3,3,1
43,0.090679,0.000495,0.014911,0.001923,0.39119,0.001597,0.00052,2000,400,3,3,1
44,0.092787,0.00059,0.015015,0.001913,0.390584,0.001652,0.00054,2000,400,3,3,1
45,0.094896,0.000489,0.014893,0.001925,0.390439,0.001595,0.000511,2000,400,3,3,1
