,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.000687,0.018885,0.002722,0.228999,0.002113,0.000509,2000,400,2,2,3
1,0.002109,0.000704,0.018488,0.002433,0.228577,0.002103,0.000516,2000,400,2,2,3
2,0.004218,0.000703,0.019014,0.002459,0.228754,0.002061,0.000502,2000,400,2,2,3
3,0.006326,0.000859,0.019407,0.002451,0.228336,0.002071,0.000517,2000,400,2,2,3
4,0.008435,0.000826,0.019669,0.002449,0.228477,0.002068,0.000509,2000,400,2,2,3
5,0.010544,0.000841,0.019834,0.002511,0.228416,0.002112,0.000512,2000,400,2,2,3
6,0.012653,0.000732,0.020018,0.002495,0.228404,0.002104,0.00042,2000,400,2,2,3
7,0.014762,0.000821,0.020335,0.002499,0.228501,0.002119,0.000423,2000,400,2,2,3
8,0.01687,0.000812,0.02046,0.002504,0.228309,0.002074,0.0005,2000,400,2,2,3
9,0.018979,0.000846,0.020552,0.002469,0.228459,0.002068,0.000504,2000,400,2,2,3
10,0.021088,0.000827,0.020644,0.002446,0.228255,0.002073,0.000504,2000,400,2,2,3
11,0.023197,0.000825,0.020983,0.002499,0.228236,0.002107,0.000508,2000,400,2,2,3
12,0.025306,0.000704,0.020771,0.002469,0.228237,0.002056,0.000505,2000,400,2,2,3
13,0.027414,0.000829,0.020718,0.002447,0.228183,0.002053,0.000503,2000,400,2,2,3
14,0.029523,0.000865,0.020847,0.002436,0.22813,0.002063,0.000504,2000,400,2,2,3
15,0.031632,0.000854,0.020797,0.002441,0.228207,0.002082,0.000505,2000,400,2,2,3
16,0.033741,0.000845,0.020948,0.002456,0.228108,0.002083,0.000503,2000,400,2,2,3
17,0.03585,0.000824,0.020962,0.002505,0.228014,0.002073,0.000504,2000,400,2,2,3
18,0.037958,0.000835,0.021012,0.002514,0.228107,0.002083,0.000505,2000,400,2,2,3
19,0.040067,0.000845,0.02112,0.002511,0.228054,0.00207,0.000502,2000,400,2,2,3
20,0.042176,0.000858,0.021137,0.002435,0.22833,0.002068,0.000498,2000,400,2,2,3
21,0.044285,0.000827,0.021124,0.002502,0.228149,0.002062,0.000501,2000,400,2,2,3
22,0.046394,0.000827,0.021321,0.002519,0.228126,0.002086,0.000503,2000,400,2,2,3
23,0.048502,0.000863,0.021326,0.002509,0.228109,0.002069,0.000502,2000,400,2,2,3
24,0.050611,0.000836,0.021362,0.002516,0.22815,0.002076,0.000499,2000,400,2,2,3
25,0.05272,0.000842,0.021244,0.002454,0.228058,0.002069,0.000512,2000,400,2,2,3
26,0.054829,0.000879,0.021293,0.002463,0.227849,0.002066,0.000496,2000,400,2,2,3
27,0.056938,0.00087,0.021333,0.002418,0.227559,0.002075,0.000497,2000,400,2,2,3
28,0.059046,0.000853,0.021305,0.002453,0.227478,0.002074,0.000508,2000,400,2,2,3
29,0.061155,0.000831,0.021379,0.002492,0.227296,0.002076,0.000503,2000,400,2,2,3
30,0.063264,0.000873,0.021296,0.002512,0.227075,0.002071,0.000499,2000,400,2,2,3
31,0.065373,0.000839,0.021312,0.002448,0.227183,0.002086,0.000505,2000,400,2,2,3
32,0.067482,0.000855,0.021454,0.002515,0.227008,0.002073,0.000497,2000,400,2,2,3
33,0.06959,0.000826,0.021348,0.002503,0.226778,0.002077,0.000504,2000,400,2,2,3
34,0.071699,0.000828,0.021247,0.002457,0.227132,0.002082,0.000507,2000,400,2,2,3
35,0.073808,0.000843,0.021317,0.002467,0.227229,0.002071,0.000505,2000,400,2,2,3
36,0.075917,0.000885,0.021259,0.002527,0.226877,0.002063,0.000498,2000,400,2,2,3
37,0.078026,0.000822,0.021314,0.002454,0.227111,0.00207,0.000498,2000,400,2,2,3
38,0.080134,0.000841,0.021397,0.002459,0.227138,0.002058,0.000501,2000,400,2,2,3
39,0.082243,0.000869,0.021354,0.00252,0.227002,0.00208,0.000503,2000,400,2,2,3
40,0.084352,0.000829,0.021247,0.002506,0.227112,0.002086,0.000503,2000,400,2,2,3
41,0.086461,0.000835,0.021274,0.002465,0.226954,0.00209,0.000499,2000,400,2,2,3
42,0.08857,0.000859,0.021273,0.002453,0.227084,0.002097,0.000432,2000,400,2,2,3
43,0.090679,0.000803,0.021324,0.002531,0.227,0.002067,0.000499,2000,400,2,2,3
44,0.092787,0.000827,0.021274,0.002441,0.227108,0.002073,0.000504,2000,400,2,2,3
45,0.094896,0.000836,0.021362,0.002422,0.227101,0.002072,0.000501,2000,400,2,2,3
46,0.097005,0.000865,0.021241,0.002489,0.227227,0.002072,0.000496,2000,400,2,2,3
47,0.099114,0.00083,0.021302,0.002451,0.227249,0.002087,0.000504,2000,400,2,2,3
48,0.101223,0.000849,0.021316,0.002463,0.227093,0.002099,0.000511,2000,400,2,2,3
49,0.103331,0.000748,0.021362,0.002563,0.227293,0.00209,0.000509,2000,400,2,2,3
50,0.10544,0.000849,0.021273,0.002566,0.227204,0.002064,0.000503,2000,400,2,2,3
51,0.107549,0.000824,0.021471,0.00257,0.22813,0.002085,0.000501,2000,400,2,2,3
52,0.109658,0.000847,0.021394,0.002486,0.227251,0.002063,0.000504,2000,400,2,2,3
53,0.111767,0.000822,0.021439,0.002563,0.227164,0.00211,0.000499,2000,400,2,2,3
54,0.113875,0.000718,0.021515,0.00256,0.227099,0.00207,0.000507,2000,400,2,2,3
55,0.115984,0.000842,0.021509,0.002571,0.227081,0.002101,0.000502,2000,400,2,2,3
56,0.118093,0.000861,0.02168,0.002571,0.22712,0.002066,0.000503,2000,400,2,2,3
57,0.120202,0.000865,0.021674,0.002558,0.227119,0.002082,0.000507,2000,400,2,2,3
58,0.122311,0.000851,0.021706,0.002552,0.227205,0.002077,0.000497,2000,400,2,2,3
59,0.124419,0.000848,0.021656,0.00255,0.227111,0.002069,0.000515,2000,400,2,2,3
