,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.001946,0.019857,0.003175,0.602684,0.002582,0.000551,0.045156,0.339019,0.199808,4000,800,4,48,3
1,0.000527,0.000905,0.018739,0.00271,0.598671,0.00365,0.000537,0.048853,0.33604,0.197671,4000,800,4,48,3
2,0.001054,0.000946,0.023902,0.003505,0.597319,0.003134,0.000741,0.051327,0.336443,0.199289,4000,800,4,48,3
3,0.001582,0.000902,0.02627,0.003754,0.595962,0.003204,0.000548,0.054471,0.334235,0.197501,4000,800,4,48,3
4,0.002109,0.000942,0.027097,0.003846,0.598015,0.003776,0.000749,0.055862,0.335533,0.197324,4000,800,4,48,3
5,0.002636,0.000952,0.027877,0.003942,0.594932,0.003272,0.00052,0.054585,0.336137,0.198728,4000,800,4,48,3
6,0.003163,0.000888,0.029058,0.004012,0.598001,0.003306,0.00057,0.056539,0.334787,0.197449,4000,800,4,48,3
7,0.00369,0.000896,0.02914,0.004057,0.596913,0.003368,0.000596,0.055362,0.336506,0.198479,4000,800,4,48,3
8,0.004218,0.000904,0.029515,0.004087,0.598197,0.003295,0.000611,0.055354,0.33657,0.198428,4000,800,4,48,3
9,0.004745,0.000899,0.029569,0.00411,0.596036,0.003772,0.000716,0.054462,0.33784,0.19846,4000,800,4,48,3
10,0.005272,0.000916,0.029562,0.004114,0.598937,0.003446,0.000569,0.056166,0.33447,0.197483,4000,800,4,48,3
11,0.005799,0.000931,0.02971,0.004116,0.596954,0.003335,0.000658,0.054514,0.334626,0.197471,4000,800,4,48,3
12,0.006326,0.00094,0.029616,0.00412,0.599049,0.003484,0.000655,0.055243,0.335788,0.197773,4000,800,4,48,3
13,0.006854,0.000933,0.029891,0.004147,0.596706,0.003817,0.000642,0.054753,0.335233,0.197377,4000,800,4,48,3
14,0.007381,0.000932,0.029491,0.004164,0.597122,0.003391,0.000558,0.053368,0.336782,0.19916,4000,800,4,48,3
15,0.007908,0.000915,0.029973,0.004176,0.596961,0.003365,0.000783,0.053876,0.336518,0.198782,4000,800,4,48,3
16,0.008435,0.000896,0.030024,0.004198,0.597118,0.00345,0.000736,0.054814,0.333563,0.196928,4000,800,4,48,3
17,0.008962,0.000899,0.03019,0.00422,0.596547,0.003483,0.000665,0.054454,0.334949,0.197948,4000,800,4,48,3
