,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.00127,0.008726,0.001597,0.274094,0.001161,0.000585,2000,400,8,96,1
1,0.002109,0.000443,0.0091,0.001381,0.26371,0.001387,0.000419,2000,400,8,96,1
2,0.004218,0.000495,0.010418,0.001611,0.266849,0.001339,0.000415,2000,400,8,96,1
3,0.006326,0.000489,0.010561,0.001645,0.265096,0.001694,0.000342,2000,400,8,96,1
4,0.008435,0.000515,0.010972,0.001816,0.266303,0.001388,0.000474,2000,400,8,96,1
5,0.010544,0.005421,0.011396,0.001689,0.262293,0.001363,0.000473,2000,400,8,96,1
6,0.012653,0.00035,0.011367,0.001802,0.263271,0.001428,0.000361,2000,400,8,96,1
7,0.014762,0.000521,0.011188,0.001958,0.255777,0.001319,0.000553,2000,400,8,96,1
8,0.01687,0.000417,0.010582,0.001551,0.254148,0.001263,0.000561,2000,400,8,96,1
9,0.018979,0.000405,0.010556,0.001553,0.249752,0.001302,0.000549,2000,400,8,96,1
10,0.021088,0.000612,0.010555,0.001599,0.253505,0.001534,0.000594,2000,400,8,96,1
11,0.023197,0.000469,0.010556,0.001554,0.248735,0.001274,0.000423,2000,400,8,96,1
12,0.025306,0.000616,0.010559,0.001558,0.251171,0.001343,0.000474,2000,400,8,96,1
13,0.027414,0.000474,0.010547,0.00155,0.250218,0.001287,0.000601,2000,400,8,96,1
14,0.029523,0.000438,0.010539,0.001565,0.251137,0.001259,0.000589,2000,400,8,96,1
15,0.031632,0.000377,0.010574,0.001604,0.251015,0.001245,0.000568,2000,400,8,96,1
16,0.033741,0.000514,0.010546,0.001605,0.251562,0.001289,0.000565,2000,400,8,96,1
17,0.03585,0.000465,0.01056,0.001576,0.249588,0.001291,0.000532,2000,400,8,96,1
18,0.037958,0.000468,0.010577,0.001582,0.250283,0.001266,0.000441,2000,400,8,96,1
19,0.040067,0.000549,0.010559,0.001556,0.250994,0.001235,0.000575,2000,400,8,96,1
20,0.042176,0.000391,0.01058,0.001596,0.247249,0.001271,0.000476,2000,400,8,96,1
21,0.044285,0.000665,0.010515,0.001808,0.251309,0.001366,0.000565,2000,400,8,96,1
22,0.046394,0.000534,0.010525,0.002133,0.250198,0.001554,0.000622,2000,400,8,96,1
