,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.000889,0.002414,0.000399,0.100346,0.00041,0.00036,0.022266,0.038861,0.022781,1000,200,4,48,2
1,0.008435,0.000119,0.002942,0.000428,0.087608,0.00051,0.000184,0.022524,0.031273,0.018477,1000,200,4,48,2
2,0.015503,0.000117,0.002915,0.000412,0.08671,0.000358,0.00027,0.022266,0.031072,0.018315,1000,200,4,48,2
3,0.021906,0.000117,0.002828,0.000399,0.086175,0.000378,0.000299,0.02137,0.031125,0.018306,1000,200,4,48,2
4,0.028049,0.000111,0.002857,0.000395,0.085954,0.000508,0.000215,0.020945,0.031449,0.018582,1000,200,4,48,2
5,0.034028,0.000111,0.002963,0.000427,0.087572,0.000357,0.000214,0.021962,0.031473,0.018587,1000,200,4,48,2
6,0.039904,0.000111,0.002921,0.000395,0.088151,0.000456,0.000186,0.021623,0.031487,0.018608,1000,200,4,48,2
7,0.045732,0.000118,0.002922,0.000398,0.089616,0.000585,0.000188,0.022838,0.031509,0.018586,1000,200,4,48,2
8,0.051521,0.000124,0.00303,0.000395,0.090096,0.000393,0.000396,0.023315,0.031362,0.018557,1000,200,4,48,2
9,0.057231,0.000111,0.002961,0.000395,0.090168,0.000472,0.000184,0.023282,0.031551,0.018492,1000,200,4,48,2
10,0.062871,0.000112,0.002969,0.000395,0.090388,0.000544,0.000197,0.022725,0.031777,0.018993,1000,200,4,48,2
11,0.068462,0.000112,0.003028,0.000399,0.089049,0.000505,0.000179,0.022257,0.031487,0.0187,1000,200,4,48,2
12,0.074023,0.000111,0.002959,0.000395,0.088867,0.000409,0.000205,0.022473,0.031419,0.018493,1000,200,4,48,2
13,0.07958,0.000111,0.003011,0.000426,0.088497,0.000385,0.00023,0.022222,0.031314,0.018504,1000,200,4,48,2
14,0.085152,0.000111,0.003004,0.000395,0.087319,0.000385,0.000237,0.021905,0.031062,0.018314,1000,200,4,48,2
15,0.090753,0.000155,0.003009,0.000395,0.085745,0.000394,0.00026,0.021252,0.031067,0.01832,1000,200,4,48,2
16,0.09638,0.000112,0.002975,0.000395,0.083155,0.0005,0.000205,0.019396,0.031052,0.018309,1000,200,4,48,2
17,0.102041,0.000111,0.002966,0.0004,0.082296,0.000506,0.000217,0.018798,0.031059,0.018349,1000,200,4,48,2
18,0.107743,0.000112,0.002954,0.000395,0.083949,0.000477,0.000265,0.019732,0.031027,0.018318,1000,200,4,48,2
19,0.113488,0.000111,0.003008,0.000399,0.084502,0.000526,0.000143,0.01967,0.031106,0.018361,1000,200,4,48,2
20,0.119277,0.000111,0.003013,0.000395,0.087131,0.000408,0.000212,0.02092,0.031368,0.018491,1000,200,4,48,2
21,0.125107,0.000146,0.003067,0.000395,0.089116,0.000553,0.000207,0.022287,0.031417,0.018603,1000,200,4,48,2
22,0.130979,0.000111,0.003057,0.00042,0.089675,0.000447,0.000207,0.022624,0.031618,0.018558,1000,200,4,48,2
23,0.13689,0.000111,0.003059,0.00042,0.088246,0.000454,0.000288,0.021653,0.031618,0.01859,1000,200,4,48,2
24,0.142834,0.000124,0.003007,0.000399,0.087457,0.000424,0.000281,0.020989,0.031345,0.018544,1000,200,4,48,2
25,0.1488,0.000111,0.003027,0.000395,0.087978,0.000519,0.000187,0.021707,0.031417,0.018497,1000,200,4,48,2
26,0.154787,0.000111,0.002965,0.0004,0.088967,0.000421,0.000218,0.02215,0.031435,0.018621,1000,200,4,48,2
27,0.160795,0.000137,0.002984,0.000395,0.088785,0.000384,0.000312,0.021967,0.031549,0.018535,1000,200,4,48,2
28,0.166821,0.000114,0.003046,0.000395,0.087785,0.000415,0.000195,0.021219,0.031543,0.01855,1000,200,4,48,2
29,0.172867,0.000111,0.003,0.000407,0.088049,0.000401,0.000362,0.021898,0.031549,0.018641,1000,200,4,48,2
30,0.178929,0.000112,0.00307,0.000395,0.088351,0.000434,0.00032,0.021986,0.031428,0.018555,1000,200,4,48,2
31,0.185009,0.000112,0.003002,0.000395,0.087134,0.000502,0.000314,0.020966,0.03168,0.018578,1000,200,4,48,2
32,0.191105,0.000112,0.003108,0.000399,0.085645,0.000376,0.000187,0.020244,0.031378,0.018563,1000,200,4,48,2
