,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.001325,0.017819,0.002464,0.778558,0.002392,0.000662,0.03462,0.533113,0.196171,2000,400,2,24,2
1,0.002109,0.000646,0.01636,0.002348,0.762634,0.003048,0.000832,0.031863,0.530182,0.195772,2000,400,2,24,2
2,0.004218,0.000644,0.020081,0.002875,0.750961,0.002247,0.000694,0.036285,0.511537,0.188803,2000,400,2,24,2
3,0.006326,0.000587,0.018879,0.002701,0.734298,0.002756,0.000861,0.043127,0.474394,0.17646,2000,400,2,24,2
4,0.008435,0.000586,0.018813,0.002748,0.735132,0.002284,0.000785,0.041689,0.476895,0.176609,2000,400,2,24,2
5,0.010544,0.000694,0.019189,0.002794,0.736368,0.002335,0.000876,0.040128,0.485462,0.179269,2000,400,2,24,2
6,0.012653,0.00057,0.019209,0.002705,0.734322,0.002214,0.000763,0.042665,0.475018,0.175677,2000,400,2,24,2
7,0.014762,0.000571,0.019088,0.002714,0.73431,0.002875,0.000984,0.041184,0.479559,0.177163,2000,400,2,24,2
8,0.01687,0.000651,0.019485,0.002733,0.733591,0.002309,0.000833,0.040784,0.478876,0.176857,2000,400,2,24,2
9,0.018979,0.000576,0.019878,0.002716,0.728971,0.00228,0.000764,0.041605,0.473546,0.174733,2000,400,2,24,2
10,0.021088,0.000578,0.020052,0.002775,0.73501,0.002321,0.000782,0.042604,0.478619,0.176897,2000,400,2,24,2
11,0.023197,0.000659,0.020029,0.002747,0.741311,0.002909,0.000804,0.038916,0.49223,0.181963,2000,400,2,24,2
12,0.025306,0.000588,0.019777,0.002772,0.739109,0.002429,0.0008,0.038452,0.485711,0.179903,2000,400,2,24,2
13,0.027414,0.000687,0.020042,0.002741,0.737293,0.002733,0.000601,0.038109,0.485857,0.178815,2000,400,2,24,2
14,0.029523,0.000571,0.019976,0.00274,0.730547,0.002425,0.000649,0.038984,0.47676,0.175609,2000,400,2,24,2
15,0.031632,0.00057,0.019788,0.00271,0.738157,0.002419,0.000695,0.038256,0.486622,0.178881,2000,400,2,24,2
16,0.033741,0.000577,0.020159,0.002816,0.7406,0.002505,0.000656,0.040803,0.482572,0.178692,2000,400,2,24,2
17,0.03585,0.000571,0.019868,0.002723,0.73219,0.002297,0.000794,0.038111,0.477891,0.176547,2000,400,2,24,2
18,0.037958,0.000577,0.0197,0.002706,0.735973,0.002469,0.00072,0.040306,0.474381,0.174633,2000,400,2,24,2
19,0.040067,0.00057,0.019771,0.002793,0.737017,0.002757,0.000656,0.041125,0.473381,0.174393,2000,400,2,24,2
20,0.042176,0.00057,0.01971,0.002791,0.734562,0.002882,0.000725,0.037144,0.479116,0.176872,2000,400,2,24,2
21,0.044285,0.000579,0.019805,0.002767,0.736268,0.002511,0.000704,0.040292,0.474088,0.174884,2000,400,2,24,2
22,0.046394,0.00057,0.020001,0.002873,0.732271,0.002486,0.000722,0.036762,0.479447,0.176651,2000,400,2,24,2
