,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.000637,0.00361,0.001623,0.11246,0.001143,0.000258,0.020128,0.057137,0.033604,1000,200,2,24,3
1,0.008435,0.000367,0.004037,0.001321,0.093666,0.001108,0.000227,0.018904,0.043078,0.025484,1000,200,2,24,3
2,0.015503,0.000332,0.003716,0.001364,0.089361,0.001159,0.000199,0.016282,0.042585,0.025121,1000,200,2,24,3
3,0.021906,0.000325,0.003797,0.001484,0.08744,0.001132,0.000295,0.015029,0.042314,0.025048,1000,200,2,24,3
4,0.028049,0.000336,0.0039,0.001508,0.088347,0.001193,0.000195,0.015681,0.042577,0.02493,1000,200,2,24,3
5,0.034028,0.000324,0.003913,0.001535,0.088553,0.001183,0.000271,0.015144,0.04245,0.024895,1000,200,2,24,3
6,0.039904,0.000326,0.003876,0.001544,0.090476,0.001176,0.000238,0.016715,0.042206,0.024924,1000,200,2,24,3
7,0.045732,0.000325,0.003893,0.001581,0.092589,0.001189,0.00025,0.018015,0.042529,0.024938,1000,200,2,24,3
8,0.051521,0.000327,0.003867,0.001573,0.093408,0.001235,0.000271,0.018196,0.042294,0.025195,1000,200,2,24,3
9,0.057231,0.000334,0.003893,0.001632,0.091649,0.001558,0.000265,0.016625,0.042875,0.025016,1000,200,2,24,3
10,0.062871,0.000328,0.003906,0.001592,0.09153,0.001196,0.000234,0.01676,0.042588,0.025112,1000,200,2,24,3
11,0.068462,0.000324,0.003905,0.001619,0.092243,0.001185,0.000277,0.017285,0.042757,0.025073,1000,200,2,24,3
12,0.074023,0.000331,0.003893,0.001612,0.094873,0.001183,0.000227,0.018725,0.042878,0.024836,1000,200,2,24,3
13,0.07958,0.000325,0.003878,0.001626,0.089935,0.001195,0.000217,0.01551,0.042815,0.025369,1000,200,2,24,3
14,0.085152,0.000325,0.003891,0.001589,0.090857,0.001241,0.000242,0.016157,0.042583,0.025476,1000,200,2,24,3
15,0.090753,0.000331,0.003897,0.00159,0.092632,0.001229,0.00025,0.017168,0.043234,0.025134,1000,200,2,24,3
16,0.09638,0.000331,0.003893,0.001627,0.092024,0.001183,0.000251,0.016746,0.042902,0.025396,1000,200,2,24,3
17,0.102041,0.000324,0.003948,0.001589,0.092491,0.001197,0.000218,0.017002,0.043042,0.025247,1000,200,2,24,3
18,0.107743,0.000325,0.003903,0.001585,0.090203,0.001236,0.000226,0.015603,0.042753,0.025198,1000,200,2,24,3
19,0.113488,0.000336,0.003946,0.001585,0.090845,0.001192,0.000239,0.01571,0.042841,0.025125,1000,200,2,24,3
20,0.119277,0.000325,0.00391,0.001585,0.090545,0.001195,0.000257,0.015552,0.042456,0.02529,1000,200,2,24,3
21,0.125107,0.000331,0.003906,0.001628,0.091583,0.001182,0.000276,0.016885,0.042279,0.025114,1000,200,2,24,3
22,0.130979,0.000325,0.003905,0.001586,0.092593,0.00127,0.000298,0.017379,0.04247,0.025011,1000,200,2,24,3
23,0.13689,0.000324,0.003893,0.001585,0.093209,0.001313,0.00025,0.01775,0.042557,0.024915,1000,200,2,24,3
24,0.142834,0.000331,0.00392,0.001585,0.092829,0.001244,0.000254,0.017378,0.042737,0.02501,1000,200,2,24,3
25,0.1488,0.000324,0.003902,0.00159,0.092891,0.0013,0.000255,0.017426,0.042717,0.025074,1000,200,2,24,3
26,0.154787,0.000327,0.00391,0.001589,0.091078,0.001212,0.000221,0.015856,0.042624,0.025078,1000,200,2,24,3
27,0.160795,0.000325,0.00391,0.001586,0.090425,0.0012,0.000215,0.015512,0.042516,0.025044,1000,200,2,24,3
28,0.166821,0.000334,0.00397,0.001585,0.090567,0.001189,0.000227,0.015681,0.042406,0.02498,1000,200,2,24,3
29,0.172867,0.000331,0.003919,0.001585,0.090968,0.001565,0.000258,0.015863,0.042489,0.025088,1000,200,2,24,3
30,0.178929,0.000325,0.003894,0.001589,0.091173,0.001191,0.000264,0.015719,0.042876,0.025057,1000,200,2,24,3
31,0.185009,0.000324,0.003932,0.00159,0.092599,0.001186,0.000263,0.016803,0.042871,0.025173,1000,200,2,24,3
32,0.191105,0.000324,0.003932,0.001614,0.092597,0.001185,0.000253,0.016898,0.04272,0.025331,1000,200,2,24,3
