,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.000413,0.001105,0.000827,0.027733,0.000666,8.1e-05,660,120,1,12,6
1,0.016667,0.000248,0.001437,0.000841,0.027105,0.000723,8.1e-05,660,120,1,12,6
2,0.026552,0.000242,0.001472,0.000943,0.027111,0.000767,8.1e-05,660,120,1,12,6
3,0.036268,0.000242,0.001468,0.001036,0.027134,0.000799,8.1e-05,660,120,1,12,6
4,0.045661,0.000242,0.001468,0.001101,0.027093,0.00083,8.1e-05,660,120,1,12,6
5,0.054889,0.000254,0.00147,0.001157,0.027096,0.00083,8.1e-05,660,120,1,12,6
6,0.064011,0.000248,0.001469,0.001166,0.027095,0.000831,8.1e-05,660,120,1,12,6
7,0.073007,0.000249,0.001476,0.001176,0.027155,0.00083,8.1e-05,660,120,1,12,6
8,0.081937,0.000248,0.001476,0.001187,0.027171,0.000829,8.1e-05,660,120,1,12,6
9,0.090857,0.000248,0.00148,0.001195,0.027156,0.00083,8.1e-05,660,120,1,12,6
10,0.099822,0.000249,0.00147,0.001205,0.027184,0.000825,8.1e-05,660,120,1,12,6
11,0.108874,0.000242,0.001472,0.001214,0.027218,0.000825,8.7e-05,660,120,1,12,6
12,0.118001,0.000242,0.001471,0.001235,0.02723,0.000831,8.1e-05,660,120,1,12,6
13,0.127177,0.000242,0.001477,0.001231,0.027206,0.00083,8.1e-05,660,120,1,12,6
14,0.13641,0.000242,0.001483,0.00124,0.027244,0.00083,8.1e-05,660,120,1,12,6
15,0.1457,0.000242,0.001474,0.001246,0.027238,0.000831,8.1e-05,660,120,1,12,6
16,0.155048,0.000248,0.001473,0.001253,0.027194,0.000831,8.1e-05,660,120,1,12,6
17,0.164448,0.000248,0.001472,0.001249,0.027185,0.000825,8.6e-05,660,120,1,12,6
18,0.173896,0.000242,0.001478,0.001256,0.027182,0.00083,8.1e-05,660,120,1,12,6
19,0.183391,0.000242,0.001471,0.001257,0.027155,0.000831,8.1e-05,660,120,1,12,6
20,0.192933,0.000242,0.001474,0.00125,0.027161,0.00083,8.1e-05,660,120,1,12,6
21,0.202516,0.000242,0.001491,0.001255,0.027175,0.00083,8.1e-05,660,120,1,12,6
22,0.21211,0.000242,0.001474,0.001252,0.027658,0.000825,9.1e-05,660,120,1,12,6
23,0.221714,0.000242,0.001473,0.001256,0.027196,0.00083,8.1e-05,660,120,1,12,6
24,0.231331,0.000242,0.00147,0.001254,0.027185,0.00083,8.1e-05,660,120,1,12,6
25,0.240961,0.000242,0.001476,0.001249,0.027167,0.00083,8.1e-05,660,120,1,12,6
26,0.250605,0.000242,0.001476,0.00125,0.027183,0.00083,8.1e-05,660,120,1,12,6
27,0.260266,0.000242,0.001478,0.001251,0.027175,0.00083,8.2e-05,660,120,1,12,6
28,0.269946,0.000242,0.00148,0.001249,0.027179,0.00083,8.1e-05,660,120,1,12,6
29,0.279645,0.000248,0.001472,0.001249,0.027182,0.000825,8.1e-05,660,120,1,12,6
30,0.289366,0.000248,0.001468,0.001256,0.027579,0.001103,8.2e-05,660,120,1,12,6
31,0.29911,0.000248,0.001522,0.001253,0.02717,0.000834,8.1e-05,660,120,1,12,6
32,0.308876,0.000248,0.001473,0.001249,0.027179,0.000825,8.7e-05,660,120,1,12,6
33,0.318663,0.000242,0.001473,0.001256,0.027154,0.000831,8.1e-05,660,120,1,12,6
34,0.32846,0.000242,0.00147,0.001256,0.027175,0.000831,8.1e-05,660,120,1,12,6
35,0.338266,0.000242,0.00148,0.00125,0.027162,0.000831,8.1e-05,660,120,1,12,6
36,0.348083,0.000242,0.001477,0.001249,0.027183,0.00083,8.1e-05,660,120,1,12,6
37,0.357912,0.000242,0.001476,0.00125,0.027178,0.000831,8.1e-05,660,120,1,12,6
38,0.367752,0.000242,0.001478,0.001249,0.027148,0.00083,8.1e-05,660,120,1,12,6
39,0.377603,0.000248,0.001477,0.00125,0.027157,0.000831,8.1e-05,660,120,1,12,6
40,0.387467,0.000248,0.001472,0.00125,0.027166,0.000837,8.1e-05,660,120,1,12,6
41,0.397345,0.000248,0.00147,0.00125,0.027172,0.000825,8.7e-05,660,120,1,12,6
42,0.407236,0.000242,0.00147,0.001254,0.027163,0.000831,8.1e-05,660,120,1,12,6
43,0.417141,0.000242,0.00147,0.001256,0.027146,0.000831,8.1e-05,660,120,1,12,6
44,0.42706,0.000242,0.001478,0.001249,0.027173,0.000831,8.1e-05,660,120,1,12,6
45,0.436994,0.000242,0.001475,0.001251,0.027165,0.00083,8.1e-05,660,120,1,12,6
46,0.446942,0.000242,0.001475,0.00125,0.027149,0.00083,8.1e-05,660,120,1,12,6
47,0.456904,0.000242,0.001477,0.00125,0.027166,0.00083,8.1e-05,660,120,1,12,6
48,0.466882,0.000242,0.001485,0.00125,0.027178,0.00083,8.1e-05,660,120,1,12,6
49,0.476874,0.000248,0.001472,0.001252,0.027147,0.000834,8.1e-05,660,120,1,12,6
50,0.48688,0.000248,0.001474,0.001249,0.027174,0.000825,8.1e-05,660,120,1,12,6
