,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.002317,0.008734,0.001377,0.273006,0.001119,0.000534,0.042183,0.132561,0.077996,4000,800,8,96,4
1,0.000527,0.00036,0.00759,0.001247,0.264955,0.001332,0.000451,0.042587,0.12538,0.073888,4000,800,8,96,4
2,0.001054,0.000355,0.009689,0.001568,0.266443,0.001437,0.000445,0.044739,0.125306,0.074064,4000,800,8,96,4
3,0.001582,0.000367,0.010508,0.001681,0.267038,0.001614,0.000489,0.045506,0.12609,0.074024,4000,800,8,96,4
4,0.002109,0.00037,0.010907,0.001705,0.264607,0.001416,0.000501,0.045354,0.125463,0.074001,4000,800,8,96,4
5,0.002636,0.000367,0.011133,0.001737,0.265683,0.001412,0.000433,0.046384,0.125331,0.074047,4000,800,8,96,4
6,0.003163,0.000354,0.011341,0.001767,0.264783,0.001382,0.000483,0.045063,0.125417,0.07398,4000,800,8,96,4
7,0.00369,0.000353,0.011473,0.001778,0.258668,0.001381,0.000373,0.04342,0.12554,0.074045,4000,800,8,96,4
8,0.004218,0.000355,0.011519,0.001781,0.256148,0.001363,0.000453,0.045696,0.125515,0.074021,4000,800,8,96,4
9,0.004745,0.000354,0.011338,0.00178,0.256493,0.001346,0.000432,0.044747,0.125464,0.074071,4000,800,8,96,4
10,0.005272,0.000354,0.01134,0.001781,0.255625,0.001603,0.000525,0.044314,0.125698,0.073956,4000,800,8,96,4
11,0.005799,0.000372,0.011352,0.001781,0.252745,0.001434,0.000362,0.043164,0.125698,0.074105,4000,800,8,96,4
12,0.006326,0.000354,0.011341,0.001779,0.252571,0.001365,0.00054,0.04358,0.125328,0.074029,4000,800,8,96,4
13,0.006854,0.000356,0.011333,0.001777,0.25666,0.001361,0.000398,0.045009,0.12557,0.074018,4000,800,8,96,4
14,0.007381,0.00036,0.011371,0.001781,0.252687,0.001407,0.000449,0.04276,0.125506,0.074059,4000,800,8,96,4
15,0.007908,0.000359,0.011349,0.001792,0.252253,0.0014,0.000451,0.04293,0.125558,0.074395,4000,800,8,96,4
16,0.008435,0.000355,0.011347,0.00178,0.255862,0.001363,0.000327,0.044642,0.125431,0.074046,4000,800,8,96,4
17,0.008962,0.000357,0.011365,0.001789,0.257463,0.001317,0.00048,0.044802,0.125404,0.073961,4000,800,8,96,4
