,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.000943,0.001749,0.001102,0.075502,0.000623,0.000269,1000,200,4,48,3
1,0.008435,0.000243,0.001937,0.000772,0.071851,0.000667,0.000297,1000,200,4,48,3
2,0.015503,0.000186,0.00202,0.000793,0.070761,0.000657,0.000227,1000,200,4,48,3
3,0.021906,0.00033,0.00208,0.000789,0.070875,0.000698,0.000221,1000,200,4,48,3
4,0.028049,0.000221,0.002048,0.000894,0.070512,0.000724,0.000199,1000,200,4,48,3
5,0.034028,0.000226,0.002089,0.000904,0.069513,0.000678,0.000261,1000,200,4,48,3
6,0.039904,0.000246,0.002031,0.000885,0.070162,0.000612,0.000277,1000,200,4,48,3
7,0.045732,0.000195,0.002035,0.000913,0.070396,0.000747,0.000278,1000,200,4,48,3
8,0.051521,0.000223,0.002089,0.000971,0.070332,0.000704,0.0003,1000,200,4,48,3
9,0.057231,0.000186,0.002085,0.000971,0.071228,0.00069,0.000307,1000,200,4,48,3
10,0.062871,0.000246,0.002076,0.000971,0.071431,0.000731,0.000351,1000,200,4,48,3
11,0.068462,0.000189,0.002129,0.000957,0.073023,0.000718,0.000238,1000,200,4,48,3
12,0.074023,0.000218,0.002027,0.000955,0.073827,0.000981,0.000261,1000,200,4,48,3
13,0.07958,0.000237,0.002176,0.001017,0.07084,0.000689,0.000334,1000,200,4,48,3
14,0.085152,0.000192,0.002116,0.000913,0.073226,0.000754,0.000261,1000,200,4,48,3
15,0.090753,0.00022,0.00203,0.000954,0.072755,0.000774,0.000291,1000,200,4,48,3
16,0.09638,0.000255,0.002142,0.000988,0.073114,0.000649,0.00032,1000,200,4,48,3
17,0.102041,0.00021,0.002112,0.000914,0.069823,0.000641,0.000298,1000,200,4,48,3
18,0.107743,0.000292,0.002051,0.000949,0.069662,0.000797,0.000301,1000,200,4,48,3
19,0.113488,0.000189,0.002101,0.000911,0.084693,0.000744,0.000276,1000,200,4,48,3
20,0.119277,0.000259,0.002065,0.000944,0.071857,0.000787,0.00023,1000,200,4,48,3
21,0.125107,0.000257,0.002037,0.000886,0.069735,0.000668,0.000309,1000,200,4,48,3
22,0.130979,0.00027,0.002046,0.001022,0.070748,0.000744,0.0002,1000,200,4,48,3
23,0.13689,0.000222,0.002169,0.000965,0.07133,0.000775,0.000324,1000,200,4,48,3
24,0.142834,0.000197,0.002133,0.001018,0.072825,0.000762,0.000292,1000,200,4,48,3
25,0.1488,0.00022,0.002078,0.000975,0.071722,0.000739,0.000223,1000,200,4,48,3
26,0.154787,0.000262,0.002051,0.000943,0.070816,0.000712,0.000371,1000,200,4,48,3
27,0.160795,0.000257,0.002068,0.000868,0.07119,0.000782,0.000306,1000,200,4,48,3
28,0.166821,0.000224,0.002086,0.000993,0.069989,0.000726,0.000265,1000,200,4,48,3
29,0.172867,0.000248,0.002103,0.000953,0.068584,0.000758,0.000238,1000,200,4,48,3
30,0.178929,0.000239,0.002063,0.000879,0.067434,0.000684,0.000302,1000,200,4,48,3
31,0.185009,0.000183,0.002083,0.000896,0.066995,0.000737,0.000313,1000,200,4,48,3
32,0.191105,0.000189,0.002077,0.000979,0.067158,0.00076,0.00028,1000,200,4,48,3
