,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.00127,0.000844,0.00013,0.041631,0.000265,0.000195,0.019875,0.003614,0.002126,660,120,8,96,5
1,0.016667,9.9e-05,0.000398,0.000181,0.038123,0.000244,0.000198,0.016795,0.003069,0.001793,660,120,8,96,5
2,0.026552,0.000137,0.000438,0.000161,0.03646,0.000292,0.000179,0.016281,0.002792,0.001594,660,120,8,96,5
3,0.036268,0.000133,0.000378,0.000145,0.039869,0.00021,0.000195,0.017556,0.002762,0.001553,660,120,8,96,5
4,0.045661,0.000196,0.000322,0.000145,0.040331,0.000231,0.000205,0.017759,0.002725,0.001545,660,120,8,96,5
5,0.054889,0.00016,0.000362,0.000145,0.039801,0.000262,0.000124,0.017518,0.002645,0.001644,660,120,8,96,5
6,0.064011,0.000102,0.000419,0.000145,0.040454,0.000197,0.000149,0.01777,0.002762,0.001546,660,120,8,96,5
7,0.073007,0.000125,0.000377,0.000145,0.037571,0.000278,0.000178,0.016474,0.002634,0.001553,660,120,8,96,5
8,0.081937,0.000104,0.000385,0.000145,0.036612,0.000211,0.000204,0.01596,0.002716,0.001517,660,120,8,96,5
9,0.090857,0.000109,0.000362,0.000152,0.036489,0.000274,0.000124,0.016073,0.002703,0.001534,660,120,8,96,5
10,0.099822,7.2e-05,0.000406,0.000145,0.036634,0.000231,0.000196,0.016253,0.002723,0.001548,660,120,8,96,5
11,0.108874,7.1e-05,0.000427,0.000145,0.0369,0.000249,0.000146,0.016297,0.002669,0.001541,660,120,8,96,5
12,0.118001,9.2e-05,0.000399,0.000145,0.034874,0.000297,0.000111,0.015503,0.002773,0.001522,660,120,8,96,5
13,0.127177,8.8e-05,0.000345,0.000145,0.034986,0.000243,0.000125,0.01539,0.002712,0.001603,660,120,8,96,5
14,0.13641,8e-05,0.000432,0.000145,0.034006,0.000267,0.000203,0.015114,0.002665,0.001601,660,120,8,96,5
15,0.1457,0.000203,0.000391,0.000145,0.034622,0.000273,0.000137,0.015403,0.002706,0.001512,660,120,8,96,5
16,0.155048,9.9e-05,0.000406,0.000145,0.034771,0.000234,0.000201,0.015368,0.002667,0.001565,660,120,8,96,5
17,0.164448,7.6e-05,0.000398,0.000145,0.033741,0.000271,0.000127,0.014861,0.00267,0.001575,660,120,8,96,5
18,0.173896,0.000125,0.000375,0.000145,0.033592,0.000208,0.000191,0.014959,0.002646,0.001581,660,120,8,96,5
19,0.183391,7.5e-05,0.00036,0.000151,0.035491,0.000242,0.000202,0.015741,0.002699,0.001539,660,120,8,96,5
20,0.192933,0.00017,0.000301,0.000145,0.034219,0.000272,0.00012,0.015322,0.00266,0.001523,660,120,8,96,5
21,0.202516,0.000161,0.000415,0.000145,0.034253,0.000247,0.000182,0.015346,0.002824,0.001564,660,120,8,96,5
22,0.21211,0.000215,0.000408,0.000151,0.034701,0.000232,0.000192,0.015568,0.002683,0.001569,660,120,8,96,5
23,0.221714,0.000125,0.000316,0.000145,0.035032,0.000199,0.00016,0.015707,0.002682,0.001527,660,120,8,96,5
24,0.231331,0.000106,0.000409,0.000145,0.033538,0.000231,0.000196,0.014954,0.002697,0.001582,660,120,8,96,5
25,0.240961,0.000792,0.000738,0.000156,0.036283,0.000369,0.000135,0.017047,0.002703,0.001583,660,120,8,96,5
26,0.250605,0.000163,0.000366,0.000145,0.034863,0.000273,0.000178,0.01548,0.002749,0.001507,660,120,8,96,5
27,0.260266,0.000128,0.000309,0.000151,0.036614,0.000211,0.000197,0.016246,0.002658,0.001662,660,120,8,96,5
28,0.269946,0.000104,0.000356,0.000145,0.037673,0.000234,0.000226,0.016747,0.002737,0.001576,660,120,8,96,5
29,0.279645,0.000188,0.000335,0.000145,0.041672,0.000267,0.000176,0.01873,0.002808,0.001553,660,120,8,96,5
30,0.289366,7.4e-05,0.000386,0.000151,0.038914,0.000194,0.000201,0.017413,0.00276,0.001604,660,120,8,96,5
31,0.29911,7.1e-05,0.000378,0.000145,0.03926,0.000202,0.000198,0.017697,0.002701,0.00162,660,120,8,96,5
32,0.308876,0.00017,0.000329,0.000151,0.037421,0.000215,0.000269,0.016773,0.002692,0.00156,660,120,8,96,5
33,0.318663,0.000206,0.000417,0.000145,0.036633,0.000352,0.000159,0.01643,0.002693,0.001586,660,120,8,96,5
34,0.32846,0.000143,0.000314,0.000145,0.035556,0.000258,0.00018,0.015727,0.002775,0.00152,660,120,8,96,5
35,0.338266,0.000204,0.000309,0.000145,0.037289,0.000231,0.000194,0.016575,0.002693,0.001601,660,120,8,96,5
36,0.348083,0.000107,0.000403,0.000145,0.037716,0.000249,0.000134,0.01683,0.002672,0.001562,660,120,8,96,5
37,0.357912,0.000102,0.000346,0.000145,0.037206,0.000278,0.000118,0.01651,0.002721,0.001633,660,120,8,96,5
38,0.367752,0.000128,0.00034,0.000145,0.036982,0.00025,0.000222,0.016334,0.002632,0.001529,660,120,8,96,5
39,0.377603,0.000127,0.000402,0.000145,0.036985,0.000205,0.000155,0.016289,0.002676,0.00154,660,120,8,96,5
40,0.387467,0.000154,0.000337,0.000145,0.036975,0.000199,0.000202,0.016478,0.002704,0.00157,660,120,8,96,5
41,0.397345,9.1e-05,0.000389,0.000145,0.036427,0.000267,0.000177,0.016332,0.00265,0.001516,660,120,8,96,5
42,0.407236,7.2e-05,0.0004,0.000145,0.036771,0.000211,0.000255,0.016523,0.002716,0.001566,660,120,8,96,5
43,0.417141,9.2e-05,0.000395,0.000145,0.037393,0.00021,0.000196,0.016677,0.002703,0.001576,660,120,8,96,5
44,0.42706,9.2e-05,0.000398,0.000145,0.037953,0.000256,0.000224,0.017157,0.002692,0.001604,660,120,8,96,5
45,0.436994,0.000143,0.000309,0.000145,0.037689,0.000177,0.00016,0.016761,0.002808,0.001543,660,120,8,96,5
46,0.446942,0.00012,0.000314,0.000145,0.037076,0.000306,0.000171,0.016391,0.002684,0.00152,660,120,8,96,5
47,0.456904,0.000156,0.000406,0.000145,0.037018,0.000244,0.000109,0.016386,0.00267,0.001597,660,120,8,96,5
48,0.466882,0.000234,0.000371,0.000145,0.036332,0.000236,0.000217,0.015964,0.002729,0.001538,660,120,8,96,5
49,0.476874,8.8e-05,0.000361,0.000145,0.036799,0.000192,0.000195,0.016051,0.002645,0.001553,660,120,8,96,5
50,0.48688,7.8e-05,0.000388,0.000145,0.036554,0.000275,0.000177,0.016118,0.002734,0.001601,660,120,8,96,5
