,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.002532,0.047889,0.006871,0.36936,0.004714,0.000631,4000,800,3,3,4
1,0.000527,0.001994,0.047758,0.006455,0.369446,0.00479,0.000598,4000,800,3,3,4
2,0.001054,0.001982,0.049819,0.006459,0.370151,0.00474,0.000635,4000,800,3,3,4
3,0.001582,0.001995,0.051108,0.006466,0.369574,0.004689,0.00068,4000,800,3,3,4
4,0.002109,0.001931,0.0519,0.006455,0.36992,0.004785,0.000614,4000,800,3,3,4
5,0.002636,0.001974,0.052791,0.006451,0.369749,0.004723,0.000644,4000,800,3,3,4
6,0.003163,0.001989,0.053344,0.006464,0.369524,0.004695,0.000632,4000,800,3,3,4
7,0.00369,0.002005,0.053753,0.006473,0.369256,0.004809,0.00062,4000,800,3,3,4
8,0.004218,0.001994,0.054109,0.006438,0.368896,0.004827,0.00063,4000,800,3,3,4
9,0.004745,0.002,0.05446,0.006454,0.369488,0.004797,0.000615,4000,800,3,3,4
10,0.005272,0.001999,0.054747,0.006453,0.368872,0.00482,0.000597,4000,800,3,3,4
11,0.005799,0.001929,0.054936,0.006437,0.369362,0.004794,0.000593,4000,800,3,3,4
12,0.006326,0.002012,0.0551,0.006451,0.367731,0.004799,0.000623,4000,800,3,3,4
13,0.006854,0.002008,0.055151,0.006449,0.367816,0.004828,0.000637,4000,800,3,3,4
14,0.007381,0.001999,0.055481,0.006445,0.367522,0.004828,0.0006,4000,800,3,3,4
15,0.007908,0.002017,0.055695,0.006449,0.367901,0.004706,0.000634,4000,800,3,3,4
16,0.008435,0.001939,0.055588,0.006459,0.369672,0.004676,0.000586,4000,800,3,3,4
17,0.008962,0.001992,0.05569,0.006439,0.367773,0.004811,0.000598,4000,800,3,3,4
