,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.01216,0.006621,0.004446,0.204733,0.003612,0.000756,0.054312,0.089148,0.052454,4000,800,8,96,6
1,0.000527,0.001454,0.00542,0.003957,0.199159,0.004152,0.000753,0.045317,0.08386,0.049429,4000,800,8,96,6
2,0.001054,0.001465,0.006686,0.005012,0.198721,0.004275,0.000772,0.046734,0.083756,0.049447,4000,800,8,96,6
3,0.001582,0.001461,0.007252,0.005429,0.202469,0.004356,0.000813,0.05021,0.083931,0.049484,4000,800,8,96,6
4,0.002109,0.001387,0.007382,0.005564,0.202634,0.005532,0.000807,0.049877,0.084438,0.049679,4000,800,8,96,6
5,0.002636,0.001376,0.007603,0.005697,0.20133,0.00465,0.000797,0.049226,0.083953,0.049099,4000,800,8,96,6
6,0.003163,0.001322,0.007793,0.005791,0.211404,0.004516,0.000694,0.051025,0.083948,0.049378,4000,800,8,96,6
7,0.00369,0.001428,0.007743,0.005847,0.200826,0.004572,0.000718,0.048918,0.083812,0.049513,4000,800,8,96,6
8,0.004218,0.001431,0.007807,0.005884,0.20223,0.004551,0.000771,0.049778,0.083663,0.049732,4000,800,8,96,6
9,0.004745,0.001425,0.007819,0.0059,0.193406,0.004318,0.000792,0.046055,0.084124,0.0495,4000,800,8,96,6
10,0.005272,0.001424,0.007801,0.005903,0.187616,0.00434,0.000723,0.044399,0.084064,0.049518,4000,800,8,96,6
11,0.005799,0.001356,0.007761,0.005909,0.189477,0.004331,0.000727,0.044738,0.083866,0.049455,4000,800,8,96,6
12,0.006326,0.001266,0.007796,0.005914,0.194485,0.004374,0.000709,0.048704,0.0839,0.049492,4000,800,8,96,6
13,0.006854,0.001412,0.007755,0.005917,0.196582,0.005545,0.000739,0.049771,0.084078,0.049848,4000,800,8,96,6
14,0.007381,0.001367,0.007764,0.005915,0.191159,0.004339,0.000664,0.047166,0.083898,0.049387,4000,800,8,96,6
15,0.007908,0.001372,0.007814,0.005906,0.190623,0.004382,0.000739,0.047105,0.084038,0.049408,4000,800,8,96,6
16,0.008435,0.001354,0.007723,0.005913,0.193077,0.00435,0.000729,0.048573,0.083861,0.049421,4000,800,8,96,6
17,0.008962,0.001396,0.007712,0.005915,0.196093,0.004311,0.000757,0.04898,0.083943,0.049494,4000,800,8,96,6
