,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.001466,0.003651,0.001562,0.116248,0.001315,0.000488,0.03773,0.0397,0.023359,2000,400,8,96,4
1,0.002109,0.000516,0.002946,0.001417,0.108463,0.001201,0.000441,0.036038,0.031949,0.018848,2000,400,8,96,4
2,0.004218,0.000456,0.003161,0.00166,0.107751,0.001452,0.000341,0.036394,0.031861,0.018966,2000,400,8,96,4
3,0.006326,0.000547,0.003154,0.001783,0.106301,0.001404,0.00033,0.036054,0.03193,0.019008,2000,400,8,96,4
4,0.008435,0.000512,0.003225,0.001703,0.104932,0.00146,0.000316,0.034638,0.032001,0.018814,2000,400,8,96,4
5,0.010544,0.000473,0.003075,0.001791,0.103766,0.00147,0.00035,0.033499,0.032051,0.018973,2000,400,8,96,4
6,0.012653,0.000524,0.003262,0.001718,0.106054,0.001403,0.000407,0.035,0.031931,0.018819,2000,400,8,96,4
7,0.014762,0.000621,0.003285,0.001609,0.104027,0.00151,0.000347,0.03397,0.031684,0.019003,2000,400,8,96,4
8,0.01687,0.000366,0.003328,0.001651,0.105739,0.001805,0.000371,0.03464,0.032412,0.018872,2000,400,8,96,4
9,0.018979,0.000472,0.003181,0.001656,0.105685,0.001419,0.000407,0.034971,0.031927,0.018964,2000,400,8,96,4
10,0.021088,0.000495,0.003272,0.001626,0.117595,0.001506,0.000356,0.040064,0.032044,0.018931,2000,400,8,96,4
11,0.023197,0.000368,0.003269,0.001609,0.10617,0.00154,0.000362,0.035643,0.031919,0.018901,2000,400,8,96,4
12,0.025306,0.000428,0.003209,0.001781,0.105669,0.00137,0.000309,0.035585,0.031812,0.018843,2000,400,8,96,4
13,0.027414,0.000369,0.0033,0.001647,0.106323,0.001476,0.000334,0.035448,0.032016,0.018812,2000,400,8,96,4
14,0.029523,0.000468,0.003126,0.001782,0.107285,0.001372,0.000504,0.035668,0.031977,0.018841,2000,400,8,96,4
15,0.031632,0.000486,0.003254,0.001724,0.105772,0.001436,0.000367,0.035146,0.031762,0.018758,2000,400,8,96,4
16,0.033741,0.000443,0.003231,0.001738,0.10555,0.00146,0.000338,0.034093,0.032079,0.018802,2000,400,8,96,4
17,0.03585,0.000418,0.00334,0.001616,0.106722,0.001407,0.000443,0.034851,0.031916,0.018974,2000,400,8,96,4
18,0.037958,0.000458,0.003391,0.001596,0.105082,0.001224,0.00043,0.035174,0.0318,0.018841,2000,400,8,96,4
19,0.040067,0.000449,0.003173,0.001531,0.105609,0.001441,0.000369,0.035303,0.031987,0.018918,2000,400,8,96,4
20,0.042176,0.000356,0.003098,0.001745,0.105292,0.001371,0.000542,0.036109,0.031992,0.018759,2000,400,8,96,4
21,0.044285,0.00036,0.003056,0.001727,0.104305,0.001281,0.00058,0.035064,0.032031,0.018803,2000,400,8,96,4
22,0.046394,0.000352,0.003208,0.00155,0.100868,0.001389,0.000459,0.032999,0.031466,0.019123,2000,400,8,96,4
