,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.014755,0.118622,0.037108,4.399593,0.034422,0.003874,8000,1600,3,36,2
1,0.000132,0.013707,0.11929,0.035267,4.356034,0.035379,0.003966,8000,1600,3,36,2
2,0.000264,0.013704,0.134578,0.037431,4.356525,0.035404,0.004075,8000,1600,3,36,2
3,0.000395,0.013725,0.151353,0.039817,4.356365,0.037982,0.004141,8000,1600,3,36,2
4,0.000527,0.013696,0.166222,0.042089,4.357516,0.037788,0.004012,8000,1600,3,36,2
5,0.000659,0.013726,0.179051,0.044295,4.357697,0.039726,0.003997,8000,1600,3,36,2
6,0.000791,0.013698,0.187885,0.04587,4.356152,0.039371,0.004017,8000,1600,3,36,2
7,0.000923,0.013736,0.193352,0.047107,4.356126,0.039574,0.004016,8000,1600,3,36,2
8,0.001054,0.013675,0.197838,0.04812,4.355793,0.039992,0.004196,8000,1600,3,36,2
9,0.001186,0.013683,0.201186,0.049185,4.356163,0.041612,0.00388,8000,1600,3,36,2
10,0.001318,0.013725,0.203909,0.049748,4.3563,0.040734,0.004009,8000,1600,3,36,2
11,0.00145,0.01369,0.206478,0.050523,4.359093,0.040897,0.004076,8000,1600,3,36,2
12,0.001582,0.013719,0.209237,0.051581,4.355392,0.041241,0.003929,8000,1600,3,36,2
13,0.001713,0.013727,0.211317,0.051923,4.356432,0.0413,0.004146,8000,1600,3,36,2
14,0.001845,0.013688,0.213844,0.052625,4.355703,0.041633,0.003905,8000,1600,3,36,2
15,0.001977,0.013724,0.216252,0.05327,4.356167,0.042062,0.003881,8000,1600,3,36,2
16,0.002109,0.013672,0.217959,0.053894,4.357862,0.041964,0.004095,8000,1600,3,36,2
17,0.002241,0.01371,0.219607,0.054526,4.357695,0.043414,0.003961,8000,1600,3,36,2
18,0.002372,0.013718,0.221032,0.055066,4.357837,0.042326,0.003987,8000,1600,3,36,2
