,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.000578,0.012823,0.002253,0.233846,0.001633,0.000533,2000,400,3,3,2
1,0.002109,0.000508,0.012736,0.001884,0.233295,0.001608,0.00052,2000,400,3,3,2
2,0.004218,0.000552,0.013418,0.001816,0.233192,0.001609,0.000519,2000,400,3,3,2
3,0.006326,0.000535,0.013736,0.001753,0.234776,0.001671,0.000521,2000,400,3,3,2
4,0.008435,0.000527,0.013941,0.001861,0.234217,0.001637,0.000546,2000,400,3,3,2
5,0.010544,0.00055,0.014093,0.001822,0.23414,0.001639,0.000526,2000,400,3,3,2
6,0.012653,0.000533,0.014179,0.001825,0.233664,0.00168,0.000524,2000,400,3,3,2
7,0.014762,0.000612,0.014072,0.001874,0.233927,0.001631,0.000522,2000,400,3,3,2
8,0.01687,0.000629,0.014196,0.001873,0.233557,0.001642,0.000524,2000,400,3,3,2
9,0.018979,0.000524,0.014268,0.00182,0.233507,0.001614,0.00062,2000,400,3,3,2
10,0.021088,0.000508,0.01443,0.001777,0.23359,0.001604,0.00052,2000,400,3,3,2
11,0.023197,0.000507,0.014535,0.001802,0.233531,0.001625,0.000618,2000,400,3,3,2
12,0.025306,0.000643,0.014408,0.001746,0.233245,0.001605,0.000523,2000,400,3,3,2
13,0.027414,0.000549,0.014357,0.001939,0.232651,0.001627,0.000524,2000,400,3,3,2
14,0.029523,0.00053,0.01441,0.001829,0.232239,0.001636,0.000478,2000,400,3,3,2
15,0.031632,0.000675,0.014474,0.001843,0.233167,0.001667,0.000549,2000,400,3,3,2
16,0.033741,0.000516,0.014486,0.001849,0.232012,0.001641,0.000466,2000,400,3,3,2
17,0.03585,0.000643,0.014463,0.001832,0.232071,0.001642,0.0005,2000,400,3,3,2
18,0.037958,0.000636,0.014327,0.001923,0.231724,0.001635,0.00048,2000,400,3,3,2
19,0.040067,0.00056,0.014411,0.001802,0.23275,0.00161,0.000528,2000,400,3,3,2
20,0.042176,0.000526,0.014378,0.00178,0.232618,0.001669,0.000523,2000,400,3,3,2
21,0.044285,0.000602,0.014364,0.001822,0.232626,0.001625,0.000566,2000,400,3,3,2
22,0.046394,0.000536,0.014256,0.001917,0.232449,0.001675,0.00055,2000,400,3,3,2
23,0.048502,0.000541,0.014335,0.001718,0.232538,0.001615,0.000606,2000,400,3,3,2
24,0.050611,0.000568,0.014325,0.001911,0.232857,0.001618,0.000477,2000,400,3,3,2
25,0.05272,0.000667,0.014483,0.002001,0.23213,0.001628,0.000543,2000,400,3,3,2
26,0.054829,0.000488,0.014389,0.001969,0.231688,0.001621,0.000587,2000,400,3,3,2
27,0.056938,0.00061,0.014498,0.001907,0.232271,0.001626,0.000517,2000,400,3,3,2
28,0.059046,0.000575,0.014642,0.001905,0.231408,0.001623,0.00059,2000,400,3,3,2
29,0.061155,0.000593,0.014537,0.001915,0.23157,0.001712,0.000567,2000,400,3,3,2
30,0.063264,0.000487,0.014651,0.00199,0.231528,0.001631,0.000594,2000,400,3,3,2
31,0.065373,0.000562,0.014656,0.001916,0.231406,0.001591,0.000549,2000,400,3,3,2
