,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.002003,0.033395,0.005099,0.817706,0.003355,0.000356,3.7e-05,0.512209,0.300838,2000,400,1,12,2
1,0.002109,0.001303,0.026546,0.003975,0.805568,0.004433,0.00038,2.1e-05,0.505091,0.297047,2000,400,1,12,2
2,0.004218,0.001284,0.03052,0.004492,0.808113,0.003792,0.000355,2.1e-05,0.506661,0.298088,2000,400,1,12,2
3,0.006326,0.001335,0.032717,0.004818,0.810402,0.004688,0.000376,2.1e-05,0.507311,0.299643,2000,400,1,12,2
4,0.008435,0.001307,0.034385,0.00507,0.805151,0.00397,0.000356,2.1e-05,0.505123,0.296691,2000,400,1,12,2
5,0.010544,0.001307,0.035879,0.005281,0.818877,0.004056,0.000356,2.1e-05,0.51256,0.302897,2000,400,1,12,2
6,0.012653,0.001325,0.037113,0.005459,0.80398,0.004959,0.000357,2.1e-05,0.505696,0.294894,2000,400,1,12,2
7,0.014762,0.001333,0.038278,0.005603,0.805562,0.004229,0.000363,2.1e-05,0.504253,0.297948,2000,400,1,12,2
8,0.01687,0.001308,0.039317,0.005761,0.806132,0.004277,0.000356,2.1e-05,0.504575,0.298191,2000,400,1,12,2
9,0.018979,0.001311,0.039913,0.005839,0.806215,0.00425,0.000356,2.1e-05,0.504373,0.298484,2000,400,1,12,2
10,0.021088,0.001312,0.04074,0.006368,0.804182,0.004438,0.000356,3.3e-05,0.504373,0.295768,2000,400,1,12,2
11,0.023197,0.00131,0.040359,0.005909,0.808018,0.004242,0.000372,2.1e-05,0.505445,0.299147,2000,400,1,12,2
12,0.025306,0.001312,0.040658,0.005915,0.805987,0.00424,0.000357,2.1e-05,0.503958,0.298669,2000,400,1,12,2
13,0.027414,0.001344,0.04093,0.00594,0.801766,0.004263,0.000356,2.1e-05,0.501951,0.296446,2000,400,1,12,2
14,0.029523,0.001286,0.041255,0.005971,0.807361,0.005081,0.000356,2.1e-05,0.505309,0.298638,2000,400,1,12,2
15,0.031632,0.001313,0.041518,0.006023,0.812562,0.004289,0.000393,2.1e-05,0.509265,0.29993,2000,400,1,12,2
16,0.033741,0.00132,0.041845,0.006035,0.813489,0.004251,0.000356,2.2e-05,0.509232,0.300905,2000,400,1,12,2
17,0.03585,0.001289,0.042016,0.006081,0.807816,0.004266,0.000376,2.2e-05,0.506044,0.298433,2000,400,1,12,2
18,0.037958,0.001308,0.042182,0.006109,0.805344,0.004254,0.000362,2.1e-05,0.504733,0.29727,2000,400,1,12,2
19,0.040067,0.001309,0.042465,0.006149,0.813816,0.004264,0.000356,5.2e-05,0.50947,0.300872,2000,400,1,12,2
20,0.042176,0.001321,0.04274,0.006155,0.808824,0.004242,0.000363,2.1e-05,0.505978,0.299434,2000,400,1,12,2
21,0.044285,0.001327,0.042873,0.006184,0.808103,0.004289,0.000356,2.1e-05,0.506501,0.298181,2000,400,1,12,2
22,0.046394,0.001287,0.043207,0.006199,0.807237,0.004269,0.000372,2.1e-05,0.505107,0.298776,2000,400,1,12,2
