,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.000469,0.002418,0.001148,0.073732,0.000979,0.000252,1000,200,2,24,4
1,0.008435,0.000331,0.00283,0.00118,0.072971,0.001102,0.000208,1000,200,2,24,4
2,0.015503,0.000332,0.002954,0.001361,0.073831,0.001163,0.000212,1000,200,2,24,4
3,0.021906,0.00036,0.002986,0.001487,0.073448,0.001162,0.000218,1000,200,2,24,4
4,0.028049,0.000359,0.002962,0.001505,0.072841,0.001174,0.000209,1000,200,2,24,4
5,0.034028,0.000358,0.002987,0.001518,0.072481,0.001166,0.000218,1000,200,2,24,4
6,0.039904,0.000359,0.002954,0.001531,0.070554,0.001199,0.000213,1000,200,2,24,4
7,0.045732,0.00034,0.002961,0.001547,0.07091,0.001214,0.000221,1000,200,2,24,4
8,0.051521,0.000346,0.002979,0.001567,0.070367,0.001164,0.000257,1000,200,2,24,4
9,0.057231,0.00033,0.00299,0.001574,0.069548,0.001127,0.000288,1000,200,2,24,4
10,0.062871,0.000336,0.002995,0.001577,0.069092,0.001194,0.000203,1000,200,2,24,4
11,0.068462,0.000324,0.002946,0.001586,0.068928,0.001237,0.000238,1000,200,2,24,4
12,0.074023,0.000324,0.002978,0.00158,0.070939,0.001571,0.000249,1000,200,2,24,4
13,0.07958,0.000324,0.002952,0.001582,0.068897,0.001195,0.000233,1000,200,2,24,4
14,0.085152,0.000324,0.002943,0.00158,0.069503,0.001188,0.000189,1000,200,2,24,4
15,0.090753,0.000345,0.002986,0.00158,0.069216,0.001162,0.000252,1000,200,2,24,4
16,0.09638,0.000339,0.002969,0.001581,0.070926,0.001163,0.000257,1000,200,2,24,4
17,0.102041,0.000326,0.002994,0.00158,0.069759,0.001173,0.000246,1000,200,2,24,4
18,0.107743,0.000324,0.002983,0.001582,0.068697,0.001182,0.000199,1000,200,2,24,4
19,0.113488,0.000333,0.002937,0.001593,0.069249,0.001209,0.000193,1000,200,2,24,4
20,0.119277,0.000334,0.003026,0.00158,0.068961,0.001258,0.00022,1000,200,2,24,4
21,0.125107,0.000324,0.003001,0.001594,0.06898,0.001169,0.000247,1000,200,2,24,4
22,0.130979,0.000324,0.002978,0.001586,0.069599,0.001175,0.000245,1000,200,2,24,4
23,0.13689,0.000324,0.00303,0.001591,0.070086,0.001176,0.000244,1000,200,2,24,4
24,0.142834,0.000335,0.002951,0.001643,0.06942,0.001171,0.000243,1000,200,2,24,4
25,0.1488,0.000331,0.002995,0.001639,0.073087,0.001169,0.00025,1000,200,2,24,4
26,0.154787,0.000324,0.003022,0.001653,0.073445,0.001071,0.000269,1000,200,2,24,4
27,0.160795,0.000292,0.002989,0.00167,0.069998,0.001197,0.000234,1000,200,2,24,4
28,0.166821,0.000293,0.002987,0.001682,0.069791,0.001087,0.000233,1000,200,2,24,4
29,0.172867,0.000308,0.002998,0.001679,0.070859,0.001155,0.000237,1000,200,2,24,4
30,0.178929,0.000292,0.00303,0.001684,0.071927,0.001199,0.000236,1000,200,2,24,4
31,0.185009,0.000296,0.002992,0.001682,0.067361,0.001173,0.000289,1000,200,2,24,4
32,0.191105,0.000289,0.00296,0.001697,0.067435,0.001075,0.000235,1000,200,2,24,4
