,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.000405,0.001724,0.000306,0.080281,0.000415,0.000174,0.021398,0.029811,0.01738,1000,200,3,36,4
1,0.008435,0.000141,0.002262,0.000303,0.06592,0.000312,0.000188,0.019062,0.022822,0.013544,1000,200,3,36,4
2,0.015503,0.000124,0.002002,0.000263,0.067756,0.000334,0.000204,0.019907,0.0217,0.012811,1000,200,3,36,4
3,0.021906,0.000129,0.002001,0.000264,0.062373,0.000277,0.0002,0.017491,0.021345,0.012627,1000,200,3,36,4
4,0.028049,0.000122,0.001998,0.000264,0.064261,0.000304,0.000205,0.018576,0.021362,0.012557,1000,200,3,36,4
5,0.034028,0.000126,0.002009,0.000312,0.065448,0.000411,0.000236,0.019624,0.021383,0.012617,1000,200,3,36,4
6,0.039904,0.000122,0.002047,0.000264,0.066187,0.000368,0.000262,0.019608,0.021379,0.01258,1000,200,3,36,4
7,0.045732,0.000152,0.002178,0.000264,0.069554,0.000344,0.000179,0.021093,0.021418,0.013023,1000,200,3,36,4
8,0.051521,0.000149,0.002044,0.000264,0.068063,0.000415,0.000323,0.021322,0.021233,0.012508,1000,200,3,36,4
9,0.057231,0.000148,0.002005,0.000264,0.071164,0.000427,0.000195,0.022537,0.021532,0.012636,1000,200,3,36,4
10,0.062871,0.000123,0.002205,0.000264,0.067569,0.000283,0.00021,0.02071,0.021335,0.012501,1000,200,3,36,4
11,0.068462,0.00017,0.002066,0.000264,0.06975,0.000337,0.000232,0.021599,0.021591,0.012719,1000,200,3,36,4
12,0.074023,0.000149,0.002146,0.000264,0.067676,0.000441,0.000234,0.020296,0.021365,0.012586,1000,200,3,36,4
13,0.07958,0.000123,0.002067,0.000264,0.067059,0.000347,0.000271,0.019652,0.021601,0.01308,1000,200,3,36,4
14,0.085152,0.000133,0.002036,0.000264,0.065921,0.000345,0.000249,0.01964,0.021338,0.012517,1000,200,3,36,4
15,0.090753,0.00012,0.001953,0.000264,0.066176,0.000384,0.000225,0.019923,0.021126,0.012429,1000,200,3,36,4
16,0.09638,0.000125,0.00215,0.000264,0.069673,0.000334,0.000245,0.021661,0.021406,0.012618,1000,200,3,36,4
17,0.102041,0.000122,0.002161,0.000264,0.070404,0.000348,0.000285,0.02215,0.021324,0.012553,1000,200,3,36,4
18,0.107743,0.000143,0.002079,0.000264,0.066111,0.000336,0.000227,0.0193,0.021357,0.012666,1000,200,3,36,4
19,0.113488,0.000145,0.002007,0.000316,0.066201,0.000267,0.000191,0.019603,0.021367,0.01253,1000,200,3,36,4
20,0.119277,0.000123,0.002032,0.000264,0.069726,0.000414,0.000242,0.021392,0.021445,0.012359,1000,200,3,36,4
21,0.125107,0.00013,0.002009,0.000264,0.067872,0.000308,0.000206,0.020207,0.02132,0.012495,1000,200,3,36,4
22,0.130979,0.000141,0.002026,0.000264,0.067999,0.000309,0.000271,0.020479,0.021583,0.012703,1000,200,3,36,4
23,0.13689,0.000123,0.002032,0.000264,0.067695,0.000316,0.000272,0.020295,0.021299,0.012508,1000,200,3,36,4
24,0.142834,0.000129,0.002056,0.000264,0.070668,0.000411,0.000241,0.021845,0.021832,0.012849,1000,200,3,36,4
25,0.1488,0.000122,0.002017,0.000295,0.065111,0.000458,0.000242,0.019022,0.021278,0.012493,1000,200,3,36,4
26,0.154787,0.000122,0.002018,0.000264,0.067202,0.000425,0.000187,0.019735,0.021481,0.012736,1000,200,3,36,4
27,0.160795,0.000144,0.002102,0.000267,0.067035,0.000293,0.000186,0.020037,0.021588,0.012402,1000,200,3,36,4
28,0.166821,0.000144,0.002087,0.000267,0.06681,0.000359,0.000267,0.019931,0.021219,0.012377,1000,200,3,36,4
29,0.172867,0.000126,0.002002,0.000312,0.064781,0.000267,0.000292,0.018806,0.021555,0.012742,1000,200,3,36,4
30,0.178929,0.000123,0.002133,0.000264,0.064362,0.000283,0.000295,0.018302,0.021253,0.012732,1000,200,3,36,4
31,0.185009,0.000122,0.002093,0.000264,0.064803,0.000382,0.000229,0.018479,0.02178,0.012998,1000,200,3,36,4
32,0.191105,0.000122,0.002049,0.000264,0.064074,0.000329,0.000226,0.018382,0.02127,0.012585,1000,200,3,36,4
