,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.001356,0.005,0.003277,0.151094,0.002588,0.000623,0.028423,0.071953,0.042172,2000,400,3,36,5
1,0.002109,0.000901,0.005199,0.002909,0.144853,0.002777,0.000681,0.029074,0.067603,0.039648,2000,400,3,36,5
2,0.004218,0.00088,0.005995,0.00345,0.143129,0.002986,0.000646,0.028867,0.067486,0.039533,2000,400,3,36,5
3,0.006326,0.000938,0.00612,0.003774,0.143076,0.003054,0.000674,0.029687,0.067472,0.039673,2000,400,3,36,5
4,0.008435,0.000959,0.0062,0.003923,0.145161,0.003129,0.000657,0.030563,0.067477,0.039679,2000,400,3,36,5
5,0.010544,0.000939,0.0062,0.003956,0.145002,0.003911,0.000674,0.029697,0.068049,0.039702,2000,400,3,36,5
6,0.012653,0.000912,0.006146,0.004001,0.144953,0.003037,0.000521,0.02976,0.067453,0.039659,2000,400,3,36,5
7,0.014762,0.000907,0.006183,0.004032,0.144821,0.003141,0.000593,0.029565,0.067399,0.03962,2000,400,3,36,5
8,0.01687,0.000921,0.006186,0.004066,0.144231,0.003117,0.000518,0.029208,0.067315,0.039662,2000,400,3,36,5
9,0.018979,0.000887,0.006183,0.004099,0.143983,0.003052,0.000492,0.029049,0.067454,0.039645,2000,400,3,36,5
10,0.021088,0.000937,0.006186,0.004118,0.144608,0.00305,0.000536,0.029548,0.067524,0.039625,2000,400,3,36,5
11,0.023197,0.000902,0.006188,0.004134,0.144179,0.003001,0.000653,0.029249,0.067568,0.039561,2000,400,3,36,5
12,0.025306,0.000945,0.006184,0.004146,0.143726,0.00306,0.000663,0.028452,0.067453,0.039629,2000,400,3,36,5
13,0.027414,0.000939,0.006189,0.004152,0.144309,0.00306,0.000483,0.029121,0.067462,0.039616,2000,400,3,36,5
14,0.029523,0.000936,0.006188,0.00415,0.144689,0.00316,0.000672,0.029034,0.067472,0.039647,2000,400,3,36,5
15,0.031632,0.000943,0.006123,0.004156,0.145069,0.003045,0.000715,0.029183,0.0675,0.039615,2000,400,3,36,5
16,0.033741,0.000907,0.006225,0.004151,0.144801,0.003157,0.000556,0.028922,0.06747,0.039602,2000,400,3,36,5
17,0.03585,0.000906,0.006228,0.004157,0.144346,0.003045,0.000761,0.028394,0.067378,0.039615,2000,400,3,36,5
18,0.037958,0.000906,0.006238,0.004152,0.144336,0.003868,0.000533,0.028198,0.067873,0.039609,2000,400,3,36,5
19,0.040067,0.000907,0.006232,0.004158,0.143852,0.003102,0.000663,0.027764,0.067482,0.039585,2000,400,3,36,5
20,0.042176,0.000938,0.006234,0.004151,0.142894,0.003185,0.000453,0.026973,0.067418,0.039684,2000,400,3,36,5
21,0.044285,0.000936,0.006281,0.004151,0.144829,0.003163,0.000537,0.028537,0.067473,0.039578,2000,400,3,36,5
22,0.046394,0.000936,0.006318,0.004158,0.144736,0.003193,0.000507,0.027856,0.067493,0.039706,2000,400,3,36,5
