,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.000571,0.013057,0.002148,0.152458,0.001777,0.000564,2000,400,3,3,4
1,0.002109,0.00049,0.012722,0.001866,0.153048,0.001742,0.000576,2000,400,3,3,4
2,0.004218,0.000552,0.013518,0.001841,0.153671,0.001748,0.000692,2000,400,3,3,4
3,0.006326,0.000491,0.013726,0.001861,0.153611,0.001765,0.000636,2000,400,3,3,4
4,0.008435,0.000503,0.013844,0.001887,0.153839,0.001788,0.000681,2000,400,3,3,4
5,0.010544,0.000519,0.014152,0.001772,0.153541,0.001707,0.00055,2000,400,3,3,4
6,0.012653,0.000586,0.014041,0.001823,0.154141,0.001651,0.000536,2000,400,3,3,4
7,0.014762,0.000598,0.0142,0.001872,0.153722,0.00168,0.000536,2000,400,3,3,4
8,0.01687,0.000562,0.014199,0.001823,0.154303,0.00174,0.00053,2000,400,3,3,4
9,0.018979,0.000543,0.014244,0.001864,0.153307,0.001657,0.00064,2000,400,3,3,4
10,0.021088,0.000624,0.01433,0.001832,0.153808,0.001731,0.000534,2000,400,3,3,4
11,0.023197,0.000624,0.014263,0.00188,0.153794,0.001779,0.000583,2000,400,3,3,4
12,0.025306,0.000559,0.014266,0.001864,0.154894,0.001791,0.000674,2000,400,3,3,4
13,0.027414,0.000502,0.014459,0.001831,0.156649,0.001668,0.00065,2000,400,3,3,4
14,0.029523,0.000649,0.01436,0.001934,0.154898,0.001766,0.000544,2000,400,3,3,4
15,0.031632,0.000517,0.014381,0.001811,0.152235,0.001676,0.000484,2000,400,3,3,4
16,0.033741,0.000639,0.01433,0.001816,0.152401,0.00178,0.00057,2000,400,3,3,4
17,0.03585,0.000515,0.014299,0.001855,0.155716,0.001725,0.00054,2000,400,3,3,4
18,0.037958,0.00055,0.014283,0.001871,0.151961,0.001759,0.000551,2000,400,3,3,4
19,0.040067,0.000545,0.014268,0.001864,0.152348,0.001719,0.000612,2000,400,3,3,4
20,0.042176,0.000553,0.014382,0.001823,0.154838,0.001689,0.000568,2000,400,3,3,4
21,0.044285,0.000585,0.01431,0.001861,0.151148,0.001698,0.000595,2000,400,3,3,4
22,0.046394,0.000571,0.014341,0.001908,0.153143,0.001761,0.000533,2000,400,3,3,4
23,0.048502,0.000496,0.014358,0.001869,0.153941,0.001648,0.000617,2000,400,3,3,4
24,0.050611,0.000559,0.014234,0.001903,0.152168,0.001785,0.000627,2000,400,3,3,4
25,0.05272,0.000496,0.014279,0.001816,0.151554,0.001769,0.000686,2000,400,3,3,4
26,0.054829,0.000516,0.014422,0.001916,0.152098,0.001677,0.000582,2000,400,3,3,4
27,0.056938,0.000553,0.014408,0.001683,0.15111,0.001725,0.000574,2000,400,3,3,4
28,0.059046,0.000538,0.014507,0.001984,0.152562,0.001671,0.000527,2000,400,3,3,4
29,0.061155,0.00052,0.014454,0.00194,0.153525,0.001721,0.000603,2000,400,3,3,4
30,0.063264,0.000529,0.014466,0.001914,0.15266,0.001673,0.000646,2000,400,3,3,4
31,0.065373,0.00065,0.014495,0.001919,0.153661,0.001684,0.000519,2000,400,3,3,4
32,0.067482,0.000546,0.014785,0.001937,0.151956,0.001699,0.000638,2000,400,3,3,4
33,0.06959,0.000546,0.014602,0.00192,0.151966,0.001772,0.000674,2000,400,3,3,4
34,0.071699,0.000518,0.014754,0.001911,0.152299,0.001649,0.000665,2000,400,3,3,4
35,0.073808,0.000597,0.014657,0.001919,0.152179,0.001664,0.00048,2000,400,3,3,4
36,0.075917,0.000605,0.014797,0.001916,0.152153,0.001628,0.000541,2000,400,3,3,4
37,0.078026,0.000605,0.014894,0.00194,0.151651,0.001769,0.000624,2000,400,3,3,4
38,0.080134,0.00051,0.014752,0.001923,0.15252,0.001639,0.000669,2000,400,3,3,4
39,0.082243,0.000545,0.01494,0.001912,0.151909,0.001662,0.000523,2000,400,3,3,4
40,0.084352,0.000515,0.014872,0.001925,0.151887,0.001746,0.0006,2000,400,3,3,4
41,0.086461,0.000538,0.014833,0.001911,0.152379,0.001647,0.000708,2000,400,3,3,4
42,0.08857,0.000521,0.014956,0.001989,0.151555,0.00168,0.000621,2000,400,3,3,4
43,0.090679,0.00057,0.014798,0.001906,0.151687,0.001664,0.000552,2000,400,3,3,4
44,0.092787,0.000598,0.014796,0.001921,0.152278,0.001702,0.000537,2000,400,3,3,4
45,0.094896,0.000585,0.01484,0.001913,0.152575,0.00165,0.000584,2000,400,3,3,4
46,0.097005,0.000528,0.014843,0.001926,0.151428,0.001768,0.000647,2000,400,3,3,4
47,0.099114,0.000499,0.014945,0.001914,0.152048,0.00176,0.000636,2000,400,3,3,4
48,0.101223,0.000488,0.014809,0.001911,0.151269,0.001637,0.000629,2000,400,3,3,4
49,0.103331,0.000618,0.014903,0.001923,0.151998,0.001684,0.000605,2000,400,3,3,4
50,0.10544,0.000657,0.014953,0.001908,0.152485,0.001633,0.000521,2000,400,3,3,4
51,0.107549,0.000518,0.014889,0.001924,0.15254,0.001746,0.000506,2000,400,3,3,4
52,0.109658,0.000543,0.014794,0.001948,0.152747,0.001814,0.000589,2000,400,3,3,4
53,0.111767,0.000537,0.014868,0.001916,0.151887,0.001777,0.000571,2000,400,3,3,4
54,0.113875,0.000513,0.014986,0.001931,0.152379,0.001779,0.00056,2000,400,3,3,4
55,0.115984,0.000535,0.014984,0.001905,0.151138,0.001623,0.000535,2000,400,3,3,4
56,0.118093,0.000529,0.014905,0.00192,0.15213,0.001765,0.000535,2000,400,3,3,4
57,0.120202,0.000596,0.014979,0.001911,0.151727,0.001745,0.000547,2000,400,3,3,4
58,0.122311,0.000513,0.014885,0.001921,0.152497,0.001676,0.00047,2000,400,3,3,4
59,0.124419,0.000651,0.01493,0.001983,0.151146,0.001675,0.000499,2000,400,3,3,4
60,0.126528,0.000629,0.014814,0.001967,0.152307,0.001745,0.00061,2000,400,3,3,4
61,0.128637,0.000566,0.014914,0.001912,0.151712,0.001761,0.000567,2000,400,3,3,4
62,0.130746,0.000499,0.014839,0.001908,0.152372,0.00163,0.000579,2000,400,3,3,4
63,0.132855,0.000656,0.01481,0.001906,0.152533,0.001726,0.000556,2000,400,3,3,4
64,0.134963,0.000577,0.014896,0.001946,0.151916,0.001784,0.000677,2000,400,3,3,4
65,0.137072,0.000488,0.015087,0.001822,0.152171,0.001706,0.00072,2000,400,3,3,4
66,0.139181,0.000496,0.014958,0.001917,0.151441,0.001634,0.0006,2000,400,3,3,4
67,0.14129,0.000517,0.014985,0.001943,0.151338,0.001718,0.000594,2000,400,3,3,4
68,0.143399,0.000537,0.015187,0.001853,0.152458,0.001756,0.000631,2000,400,3,3,4
69,0.145507,0.000536,0.015116,0.001779,0.152255,0.001692,0.000532,2000,400,3,3,4
70,0.147616,0.00052,0.015223,0.001664,0.152824,0.001699,0.000549,2000,400,3,3,4
71,0.149725,0.000579,0.015075,0.001792,0.152195,0.00173,0.000618,2000,400,3,3,4
72,0.151834,0.000523,0.01497,0.001946,0.151772,0.001771,0.000615,2000,400,3,3,4
73,0.153943,0.000572,0.015144,0.001825,0.152339,0.001631,0.000559,2000,400,3,3,4
74,0.156051,0.000655,0.015155,0.001691,0.151531,0.001699,0.000583,2000,400,3,3,4
75,0.15816,0.000579,0.015039,0.001825,0.151864,0.001755,0.00068,2000,400,3,3,4
76,0.160269,0.000492,0.015211,0.001845,0.151842,0.001756,0.000694,2000,400,3,3,4
77,0.162378,0.000549,0.015182,0.001838,0.151614,0.001728,0.000605,2000,400,3,3,4
78,0.164487,0.000544,0.015131,0.001687,0.151618,0.001651,0.000654,2000,400,3,3,4
79,0.166595,0.000601,0.015205,0.001798,0.152046,0.001644,0.000626,2000,400,3,3,4
80,0.168704,0.000566,0.015066,0.00178,0.151815,0.001635,0.000523,2000,400,3,3,4
81,0.170813,0.000493,0.01494,0.001942,0.152025,0.00178,0.000664,2000,400,3,3,4
82,0.172922,0.000518,0.015236,0.001792,0.154707,0.001765,0.000663,2000,400,3,3,4
83,0.175031,0.000512,0.015196,0.00178,0.151406,0.001629,0.000547,2000,400,3,3,4
84,0.177139,0.000591,0.015161,0.001823,0.152078,0.001764,0.000685,2000,400,3,3,4
85,0.179248,0.000526,0.015168,0.001776,0.154321,0.001757,0.000634,2000,400,3,3,4
86,0.181357,0.000571,0.015216,0.001694,0.151824,0.001751,0.000685,2000,400,3,3,4
87,0.183466,0.000517,0.015084,0.001694,0.152197,0.001723,0.000623,2000,400,3,3,4
88,0.185575,0.000564,0.015181,0.001843,0.153751,0.001776,0.000569,2000,400,3,3,4
89,0.187683,0.000541,0.015084,0.001687,0.151644,0.001667,0.000629,2000,400,3,3,4
90,0.189792,0.000512,0.015086,0.001789,0.152364,0.0017,0.000538,2000,400,3,3,4
91,0.191901,0.000554,0.015096,0.001821,0.15354,0.001639,0.000593,2000,400,3,3,4
92,0.19401,0.000635,0.015007,0.001941,0.152239,0.001611,0.000649,2000,400,3,3,4
93,0.196119,0.000494,0.014958,0.001912,0.154021,0.001651,0.000614,2000,400,3,3,4
