,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.020313,0.088141,0.05478,3.346641,0.049879,0.005965,0.044659,2.055725,1.208079,8000,1600,2,24,4
1,0.000132,0.020242,0.090644,0.052176,3.354091,0.051135,0.005639,0.047311,2.069015,1.215324,8000,1600,2,24,4
2,0.000264,0.020242,0.102256,0.054337,3.350967,0.051383,0.005831,0.054804,2.066356,1.213072,8000,1600,2,24,4
3,0.000395,0.020369,0.113564,0.056725,3.347815,0.053478,0.005705,0.063703,2.057861,1.208808,8000,1600,2,24,4
4,0.000527,0.020243,0.124015,0.058997,3.356882,0.053538,0.005927,0.072498,2.062061,1.211998,8000,1600,2,24,4
5,0.000659,0.020365,0.133825,0.061163,3.361145,0.054476,0.005907,0.087925,2.055386,1.206892,8000,1600,2,24,4
6,0.000791,0.020361,0.139162,0.062747,3.380392,0.056076,0.005922,0.094098,2.061099,1.211638,8000,1600,2,24,4
7,0.000923,0.020228,0.143049,0.064033,3.355287,0.055434,0.006036,0.093492,2.054828,1.207922,8000,1600,2,24,4
8,0.001054,0.020245,0.146081,0.064989,3.359672,0.056114,0.005819,0.090701,2.064595,1.213488,8000,1600,2,24,4
9,0.001186,0.02046,0.148481,0.06587,3.35639,0.056165,0.005838,0.0945,2.05954,1.210838,8000,1600,2,24,4
10,0.001318,0.020366,0.150374,0.06665,3.36061,0.056388,0.005883,0.0987,2.058575,1.209574,8000,1600,2,24,4
11,0.00145,0.020254,0.152033,0.067416,3.365603,0.057851,0.00584,0.103848,2.057925,1.209261,8000,1600,2,24,4
12,0.001582,0.020408,0.153929,0.068098,3.350606,0.056971,0.005821,0.099248,2.055549,1.208556,8000,1600,2,24,4
13,0.001713,0.020241,0.155738,0.068797,3.360568,0.057162,0.005972,0.104086,2.05727,1.209252,8000,1600,2,24,4
14,0.001845,0.020385,0.157935,0.069507,3.359919,0.057492,0.005795,0.104833,2.057891,1.208954,8000,1600,2,24,4
15,0.001977,0.020281,0.161826,0.070188,3.35657,0.057866,0.005707,0.106188,2.053983,1.206626,8000,1600,2,24,4
16,0.002109,0.020327,0.165089,0.070807,3.378773,0.057816,0.005872,0.113731,2.066024,1.213197,8000,1600,2,24,4
17,0.002241,0.020394,0.167464,0.071423,3.363284,0.058093,0.005893,0.112553,2.056813,1.20845,8000,1600,2,24,4
18,0.002372,0.020397,0.168398,0.07198,3.362795,0.058308,0.00583,0.113372,2.058238,1.209227,8000,1600,2,24,4
19,0.002504,0.0203,0.169415,0.07257,3.358494,0.059419,0.005935,0.113227,2.057522,1.208973,8000,1600,2,24,4
20,0.002636,0.020441,0.17058,0.073088,3.364188,0.058603,0.005887,0.109908,2.066233,1.214871,8000,1600,2,24,4
21,0.002768,0.020247,0.170581,0.073537,3.360182,0.058873,0.005794,0.110966,2.061611,1.212284,8000,1600,2,24,4
22,0.0029,0.02035,0.171061,0.074043,3.3624,0.058984,0.005929,0.11463,2.059346,1.210385,8000,1600,2,24,4
23,0.003031,0.020371,0.171882,0.074443,3.352524,0.059126,0.005856,0.106063,2.064072,1.212107,8000,1600,2,24,4
24,0.003163,0.020229,0.171938,0.074895,3.363317,0.059343,0.005788,0.116703,2.061746,1.211953,8000,1600,2,24,4
25,0.003295,0.020245,0.171916,0.075299,3.359355,0.059514,0.005854,0.117403,2.055792,1.207948,8000,1600,2,24,4
26,0.003427,0.020373,0.17176,0.075697,3.352937,0.060183,0.00577,0.116874,2.054275,1.207006,8000,1600,2,24,4
27,0.003559,0.020401,0.171582,0.076091,3.359762,0.059742,0.005961,0.117591,2.05573,1.207583,8000,1600,2,24,4
28,0.00369,0.02024,0.171446,0.076467,3.356716,0.060269,0.005812,0.115543,2.058396,1.209434,8000,1600,2,24,4
29,0.003822,0.020312,0.17162,0.076838,3.364536,0.060148,0.005818,0.115084,2.066842,1.213905,8000,1600,2,24,4
