,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.009463,0.007376,0.000986,0.226188,0.001113,0.000365,0.04763,0.104677,0.061415,4000,800,8,96,5
1,0.000527,0.000311,0.006636,0.00092,0.218991,0.001181,0.000362,0.040026,0.101644,0.06008,4000,800,8,96,5
2,0.001054,0.000309,0.00801,0.001172,0.218907,0.001346,0.000439,0.041718,0.100844,0.059787,4000,800,8,96,5
3,0.001582,0.000355,0.008547,0.001215,0.220811,0.001423,0.000503,0.042395,0.102118,0.059647,4000,800,8,96,5
4,0.002109,0.000348,0.008764,0.001193,0.218882,0.001208,0.000418,0.042075,0.101057,0.059327,4000,800,8,96,5
5,0.002636,0.000304,0.008998,0.001218,0.218672,0.001187,0.000497,0.042293,0.101879,0.059743,4000,800,8,96,5
6,0.003163,0.000305,0.009189,0.001277,0.220199,0.001215,0.000424,0.042729,0.101703,0.060231,4000,800,8,96,5
7,0.00369,0.000309,0.009263,0.001312,0.220232,0.001198,0.000415,0.043107,0.101513,0.059848,4000,800,8,96,5
8,0.004218,0.000302,0.009224,0.001279,0.218121,0.001258,0.000419,0.042022,0.101614,0.060116,4000,800,8,96,5
9,0.004745,0.000308,0.009261,0.001271,0.211898,0.001128,0.000397,0.041705,0.101171,0.059854,4000,800,8,96,5
10,0.005272,0.000356,0.009113,0.001266,0.211689,0.001127,0.000521,0.041662,0.101268,0.059853,4000,800,8,96,5
11,0.005799,0.000305,0.009269,0.001274,0.212935,0.001134,0.000533,0.042368,0.101544,0.059665,4000,800,8,96,5
12,0.006326,0.00031,0.00914,0.001271,0.212091,0.001408,0.000508,0.041698,0.101833,0.05982,4000,800,8,96,5
13,0.006854,0.000328,0.009136,0.001271,0.211698,0.001116,0.000496,0.040721,0.101298,0.059859,4000,800,8,96,5
14,0.007381,0.000306,0.009209,0.001279,0.21095,0.001077,0.000533,0.040717,0.10154,0.059461,4000,800,8,96,5
15,0.007908,0.000342,0.009115,0.001271,0.211013,0.001163,0.000384,0.041263,0.101629,0.060142,4000,800,8,96,5
16,0.008435,0.000303,0.009238,0.001274,0.211786,0.001135,0.000524,0.042047,0.101957,0.060107,4000,800,8,96,5
17,0.008962,0.000301,0.009124,0.001271,0.209923,0.001143,0.000521,0.039562,0.101755,0.06011,4000,800,8,96,5
