,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.002103,0.032903,0.00534,0.83841,0.003567,0.000829,0.031106,0.501104,0.294847,2000,400,2,24,1
1,0.002109,0.001283,0.02638,0.003945,0.823163,0.004595,0.000884,0.032271,0.491047,0.289958,2000,400,2,24,1
2,0.004218,0.001266,0.030406,0.004498,0.823085,0.003966,0.000812,0.035418,0.49082,0.289422,2000,400,2,24,1
3,0.006326,0.0013,0.032643,0.004808,0.823226,0.004868,0.000876,0.036057,0.490785,0.289985,2000,400,2,24,1
4,0.008435,0.001315,0.034311,0.005045,0.823806,0.004217,0.000851,0.03803,0.49079,0.289398,2000,400,2,24,1
5,0.010544,0.001309,0.035789,0.005259,0.822881,0.00426,0.000858,0.038574,0.490803,0.28935,2000,400,2,24,1
6,0.012653,0.001328,0.037035,0.005433,0.823234,0.004351,0.000873,0.039027,0.491281,0.289426,2000,400,2,24,1
7,0.014762,0.001244,0.038193,0.005596,0.822897,0.005221,0.000852,0.039364,0.491092,0.289632,2000,400,2,24,1
8,0.01687,0.00132,0.039329,0.005759,0.823536,0.004464,0.000867,0.041321,0.490711,0.289422,2000,400,2,24,1
9,0.018979,0.001272,0.03992,0.005825,0.822895,0.004455,0.000814,0.040288,0.490716,0.289313,2000,400,2,24,1
10,0.021088,0.0013,0.040208,0.005861,0.823093,0.004484,0.000826,0.040659,0.490713,0.289357,2000,400,2,24,1
11,0.023197,0.001331,0.040641,0.005883,0.82287,0.004449,0.000817,0.039978,0.490668,0.289344,2000,400,2,24,1
12,0.025306,0.001304,0.040752,0.005918,0.822964,0.004456,0.000836,0.039316,0.490711,0.289353,2000,400,2,24,1
13,0.027414,0.001332,0.041015,0.005952,0.824471,0.005247,0.000806,0.0404,0.491034,0.289803,2000,400,2,24,1
14,0.029523,0.001289,0.041333,0.005978,0.821804,0.004462,0.000815,0.038661,0.490727,0.289347,2000,400,2,24,1
15,0.031632,0.001335,0.041487,0.005994,0.823286,0.004454,0.000869,0.039652,0.490716,0.289428,2000,400,2,24,1
16,0.033741,0.001333,0.041831,0.00603,0.822497,0.004478,0.000846,0.039148,0.490636,0.289339,2000,400,2,24,1
17,0.03585,0.001322,0.042135,0.006052,0.823377,0.004465,0.000874,0.039433,0.491203,0.289367,2000,400,2,24,1
18,0.037958,0.001358,0.042329,0.006071,0.824333,0.004464,0.000857,0.039854,0.490726,0.28934,2000,400,2,24,1
19,0.040067,0.001317,0.042548,0.006095,0.823131,0.004508,0.000795,0.038963,0.490727,0.289422,2000,400,2,24,1
20,0.042176,0.001255,0.042761,0.006122,0.822719,0.004424,0.000853,0.038341,0.490763,0.289343,2000,400,2,24,1
21,0.044285,0.001334,0.043044,0.006147,0.823641,0.004496,0.000816,0.038706,0.490705,0.289336,2000,400,2,24,1
22,0.046394,0.001289,0.043321,0.006175,0.82362,0.004443,0.0009,0.038652,0.490698,0.289335,2000,400,2,24,1
