,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.005015,0.072306,0.009727,3.854653,0.012107,0.002188,0.055694,2.722909,1.001903,4000,800,3,36,1
1,0.000527,0.003551,0.063961,0.009545,3.851759,0.012519,0.002184,0.06,2.722257,1.001622,4000,800,3,36,1
2,0.001054,0.003542,0.075292,0.011193,3.851151,0.011415,0.002032,0.073141,2.722024,1.001246,4000,800,3,36,1
3,0.001582,0.003588,0.082354,0.012223,3.853875,0.012838,0.002219,0.081814,2.722603,1.001129,4000,800,3,36,1
4,0.002109,0.003574,0.087202,0.012874,3.852444,0.011542,0.002175,0.083598,2.722024,1.001239,4000,800,3,36,1
5,0.002636,0.003539,0.091371,0.013421,3.853373,0.013156,0.00215,0.088315,2.722707,1.001151,4000,800,3,36,1
6,0.003163,0.003543,0.094964,0.01391,3.850493,0.011694,0.002376,0.084586,2.721985,1.001132,4000,800,3,36,1
7,0.00369,0.003535,0.097838,0.014305,3.852714,0.011782,0.002306,0.087978,2.722045,1.001222,4000,800,3,36,1
8,0.004218,0.003563,0.100243,0.014666,3.84995,0.011886,0.002236,0.088095,2.723025,1.001718,4000,800,3,36,1
9,0.004745,0.003588,0.102545,0.014983,3.85005,0.013327,0.002215,0.090159,2.722976,1.001665,4000,800,3,36,1
10,0.005272,0.003544,0.104721,0.015275,3.8482,0.011943,0.002079,0.090911,2.721992,1.001176,4000,800,3,36,1
11,0.005799,0.003547,0.106107,0.015487,3.850136,0.011935,0.002463,0.093285,2.721877,1.001171,4000,800,3,36,1
12,0.006326,0.003548,0.10683,0.015582,3.849406,0.011946,0.002315,0.092848,2.722049,1.001118,4000,800,3,36,1
13,0.006854,0.003559,0.107408,0.015648,3.846929,0.011907,0.002441,0.091113,2.72203,1.001153,4000,800,3,36,1
14,0.007381,0.003578,0.108152,0.015713,3.848546,0.011959,0.002118,0.092387,2.721901,1.001101,4000,800,3,36,1
15,0.007908,0.003549,0.108421,0.015764,3.848284,0.011918,0.002219,0.091611,2.722005,1.001202,4000,800,3,36,1
16,0.008435,0.003525,0.108959,0.015825,3.851226,0.013395,0.002565,0.093572,2.722337,1.001205,4000,800,3,36,1
17,0.008962,0.003546,0.109572,0.015877,3.851711,0.011923,0.002271,0.093695,2.722543,1.001338,4000,800,3,36,1
