,Timestep,timestep_time_taken,compute_velocity_time_taken,rhs_time_taken,possion_time_taken,update_velocity_time_taken,boundary_time_taken,sync_time_taken,possion_p_loop_time_taken,possion_res_loop_time_taken,x,y,sbatch_nodes,sbatch_tasks,omp_threads
0,0.0,0.00499,0.04041,0.011298,1.137641,0.009326,0.001389,0.044065,0.675873,0.397886,4000,800,3,36,2
1,0.000527,0.003513,0.035282,0.009509,1.133119,0.009524,0.001393,0.04821,0.672376,0.397054,4000,800,3,36,2
2,0.001054,0.003463,0.045666,0.011148,1.129511,0.010719,0.001362,0.055369,0.676669,0.399127,4000,800,3,36,2
3,0.001582,0.003477,0.05066,0.012196,1.130367,0.010402,0.001352,0.05886,0.673213,0.397536,4000,800,3,36,2
4,0.002109,0.00347,0.052324,0.012834,1.134203,0.010625,0.001398,0.062887,0.669461,0.395018,4000,800,3,36,2
5,0.002636,0.003497,0.053928,0.013389,1.129453,0.011361,0.001491,0.062348,0.674868,0.398502,4000,800,3,36,2
6,0.003163,0.003483,0.055094,0.013874,1.13225,0.010978,0.00144,0.064713,0.674051,0.397901,4000,800,3,36,2
7,0.00369,0.003445,0.055635,0.014318,1.129289,0.011111,0.00148,0.064739,0.673722,0.397473,4000,800,3,36,2
8,0.004218,0.003483,0.056024,0.014616,1.129695,0.011863,0.001457,0.06467,0.675369,0.398866,4000,800,3,36,2
9,0.004745,0.003489,0.056229,0.014949,1.130692,0.011366,0.001495,0.066569,0.672777,0.397028,4000,800,3,36,2
10,0.005272,0.003486,0.056762,0.015239,1.127689,0.011474,0.001465,0.065435,0.673762,0.397746,4000,800,3,36,2
11,0.005799,0.003476,0.057672,0.015459,1.130838,0.011535,0.001432,0.066694,0.673902,0.397765,4000,800,3,36,2
12,0.006326,0.003514,0.057941,0.015542,1.12878,0.012117,0.001443,0.06738,0.675071,0.398641,4000,800,3,36,2
13,0.006854,0.003487,0.057947,0.015646,1.126568,0.011536,0.001472,0.065563,0.67084,0.396055,4000,800,3,36,2
14,0.007381,0.003471,0.058038,0.015673,1.132479,0.011603,0.001346,0.066228,0.672905,0.397275,4000,800,3,36,2
15,0.007908,0.003511,0.057879,0.015732,1.128794,0.011493,0.001471,0.064453,0.676185,0.39909,4000,800,3,36,2
16,0.008435,0.003478,0.057844,0.015789,1.129342,0.011557,0.001454,0.065722,0.668661,0.394666,4000,800,3,36,2
17,0.008962,0.003482,0.058144,0.015872,1.128924,0.011534,0.001544,0.065349,0.668194,0.394595,4000,800,3,36,2
